Question,A,B,C,D,Prav_vid
Скільки функціональних рівнів типово має параметризований декоратор?,Лише wrapper,Тільки lambda,Рекурсія → цикл,Фабрика → decorator(fn) → wrapper,D
Яка політика визначає повторні спроби виконання функції?,cache,retry,groupby,timing,B
Що зберігається в store для cache_with_ttl у прикладі?,Пара result і timestamp,Тільки timestamp,Лише args,Тільки result,A
Який стандартний засіб Python пропонується для LRU-кешування?,random.lru,threading.cache,itertools.cache,functools.lru_cache,D
Що робить конструкція with lock:?,Очищає кеш,Створює новий процес,Видаляє lock,Виконує критичну секцію під блокуванням,D
Що використовується як ключ у простому cache(*args)?,Ім’я модуля,Кортеж args,Час виконання,Результат функції,B
Як отримати конкретне значення з cell замикання?,cell.contents(),cell.get(),cell.value(),cell.cell_contents,D
Чому multiply у make_multiplier пам’ятає k?,Через рекурсію,Через механізм замикання,Через глобальну змінну,Через inheritance,B
Що замкнув wrapper декоратора timing?,Результат print,Тільки time.time,Посилання на оригінальну функцію fn,Глобальний список,C
Що зберігає замикання?,Тільки глобальні змінні,Усі локальні змінні програми,Лише результат останнього виклику,Посилання на змінні зі своєї лексичної області видимості,D
Які значення послідовно повернуть три виклики click() у прикладі counter()?,"0, 0, 0","1, 2, 3","3, 2, 1","1, 1, 1",B
"Що поверне hi('Alice'), якщо hi=greet_builder('Hello')?",Hello Pablo!,Hello Alice!,Hola Alice!,Alice Hello без пробілу,B
Чи має значення порядок кількох декораторів?,"Так, він визначає порядок обгортання та виконання політик","Ні, ніколи",Тільки для lambda,Тільки без arguments,A
"Що робить store.pop(key, None)?",Повертає весь кеш,Блокує потік,"Видаляє заданий ключ без помилки, якщо його немає",Додає новий ключ,C
Що можуть зберігати замикання політик?,Тільки глобальні константи,Лише тип функції,Лише ім’я файлу,Параметри політики та внутрішній стан,D
Для чого в retry може додаватися jitter?,Щоб вимкнути exceptions,Щоб сортувати помилки,Щоб кешувати args,Щоб випадково варіювати затримку між повторними спробами,D
Що відбудеться зі значенням count у closure після виклику c()?,Перетворюється на рядок,Стає глобальним,Воно може оновитися і залишитися збереженим,Воно завжди видаляється,C
Що повертає make_multiplier(2)?,Число 2,Список множників,Клас multiplier,"Функцію, яка множить аргумент на 2",D
Для чого часто використовують lambda?,Для імпорту модулів,Для створення класів,Для коротких функціональних виразів і передачі функцій на льоту,Для потокового читання файлів,C
Яку функцію пропонується обгорнути декораторами в домашньому завданні?,quicksort(xs),fib(n),get_post(post_id),countdown(n),C
Що потрібно протестувати для retry?,Лише тип аргументів,Кількість повторних спроб і поведінку при помилках,Тільки ім’я функції,Тільки швидкість CPU,B
Який підхід лежить в основі декораторів і замикань у Python?,Глобальні змінні,Функції вищого порядку,Наслідування класів,Тільки рекурсія,B
Який синтаксис застосування декоратора використовується в Python?,$decorator,%decorator,@decorator,#decorator,C
Яка ключова вимога idempotency-safe логування?,Лог має змінювати результат функції,Логування має бути глобальним,Кожен лог має виконувати функцію двічі,Проблема логування не повинна впливати на основну функцію,D
Який фреймворк тестування використовується в домашньому завданні?,Flask,Django,pytest,unittest тільки,C
Що створює кожен окремий виклик make_multiplier(k)?,Спільну глобальну змінну k,Новий модуль,Новий Python-процес,Власне замкнене оточення,D
Що зберігає замикання retry(attempts=3)?,Стек усієї програми,Тільки останню помилку Python,Ім’я модуля,Параметр attempts,D
Що таке TTL у кешуванні?,Кількість потоків,Час життя кешованого значення,Тип функції,Час компіляції,B
Якою властивістю повинні володіти елементи args для використання як ключа dict?,Бути генераторами,Бути хешованими,Бути списками,Бути тільки float,B
"Що пам’ятає функція greet, створена greet_builder(prefix)?",prefix,Усі глобальні змінні,Тільки name,Нічого,A
