Question,A,B,C,D,Prav_vid
Що таке виняток (exception) у Python?,Тип циклу,"Об'єкт, який сигналізує, що нормальне виконання операції не може продовжуватися",Коментар у коді,Модуль для логування,B
Коли виникає більшість прикладних exceptions?,Лише під час встановлення Python,Тільки під час компіляції C-коду,Виключно під час імпорту,Під час виконання програми,D
Який виняток виникає при int('abc')?,TypeError,KeyError,IndexError,ValueError,D
Який виняток виникає при діленні 10 / 0?,ZeroDivisionError,FileNotFoundError,TimeoutError,ValueError,A
Який виняток виникає при зверненні до відсутнього ключа словника через data['missing']?,KeyError,TypeError,PermissionError,IndexError,A
Від якого класу успадковується більшість прикладних винятків?,Warning,KeyboardInterrupt,Exception,SystemExit,C
Чим BaseException ширший за Exception?,Він не є базовим класом,"Він охоплює також такі винятки, як KeyboardInterrupt і SystemExit",Він призначений тільки для I/O,Він містить лише ValueError,B
Який виняток доцільний для неприйнятного значення правильного типу?,ImportError,PermissionError,KeyError,ValueError,D
Який виняток сигналізує про несумісний тип?,IndexError,TypeError,ValueError,TimeoutError,B
Який виняток означає неправильний індекс послідовності?,OSError,KeyError,IndexError,RuntimeWarning,C
Який виняток означає відсутність файла?,FileNotFoundError,PermissionError,EOFError,ValueError,A
Який виняток може сигналізувати про недостатні права доступу?,NameError,PermissionError,TimeoutError,IndexError,B
Для чого використовується блок try?,Для оголошення класу,Для створення logger,"Для розміщення операції, під час якої очікується конкретна помилка",Для безумовного ігнорування помилок,C
Яким має бути блок try за рекомендацією лекції?,Містити тільки print,Завжди охоплювати всю програму,Максимально великим,Якомога меншим,D
Для чого використовується except?,Для фінального cleanup незалежно від помилки,Для створення context manager,Для виконання коду тільки без помилки,Для визначення реакції на певний виняток,D
Навіщо використовувати кілька except?,Щоб вимкнути traceback,Щоб уникнути raise,Щоб один виняток виконувався кілька разів,Щоб різні причини відмови могли мати різні стратегії обробки,D
Як перехопити кілька типів винятків з однаковою реакцією?,Використати тільки BaseException,Записати їх через оператор +,Використати finally,Передати їх кортежем в одному except,D
Що дає конструкція as exc у except?,Автоматично повторює операцію,Доступ до об'єкта перехопленого винятку,Видаляє traceback,Перетворює виняток на warning,B
Коли виконується блок else після try/except?,Лише якщо exception виник,Тільки після finally,Завжди перед try,Лише якщо try завершився без exception,D
Навіщо використовувати else у try/except?,Щоб приховати exception,Щоб замінити except,Щоб не включати подальшу бізнес-логіку до надто широкого try,Щоб створити retry,C
Коли виконується finally?,Тільки без except,"Незалежно від того, чи виник виняток",Тільки при ValueError,Лише якщо try успішний,B
Для чого традиційно використовується finally?,Для cleanup,Для type narrowing,Для створення нового класу,Для логування тільки INFO,A
Що робить оператор raise?,Пригнічує всі винятки,Явно породжує виняток,Створює context manager,Запускає debugger,B
"Який виняток доречно породити для від'ємного age, якщо контракт вимагає невід'ємне значення?",ValueError,KeyError,FileNotFoundError,TimeoutError,A
Що робить raise без аргументів усередині except?,Завершує except без помилки,Ігнорує exception,Повторно породжує поточний exception і зберігає traceback,Створює новий RuntimeError без причини,C
Що таке exception chaining?,Наслідування context managers,Збереження первинної причини при піднятті помилки до іншого рівня абстракції,Об'єднання лог-файлів,Послідовність retry,B
Який синтаксис використовується для exception chaining?,throw NewError(exc),raise NewError(...) from exc,except NewError from exc,raise NewError(...) with exc,B
Навіщо зберігати cause через raise ... from?,Щоб не втратити первинну причину відмови,Щоб зробити exception silent,Щоб автоматично виконати fallback,Щоб вимкнути traceback,A
Коли корисні власні exceptions?,Коли потрібно уникнути класів,Тільки для синтаксичних помилок,Лише для циклів,Для створення стабільного доменного API помилок,D
Навіщо створювати базовий ApplicationError?,Для створення logger,Щоб замінити BaseException,Щоб об'єднати доменні помилки в ієрархію,Щоб вимкнути ValueError,C
Яка перевага exception зі структурованими полями?,Він автоматично записується в БД,Код може програмно реагувати на причину без парсингу тексту повідомлення,Він не має повідомлення,Він не може бути перехоплений,B
Що означає EAFP?,Повторювати операцію нескінченно,Ігнорувати помилки,Спробувати операцію і перехопити очікувану помилку,Спочатку перевірити всі умови,C
Що означає LBYL?,Спочатку перевірити умову перед виконанням операції,Логувати перед кожним рядком,Породжувати BaseException,Завжди використовувати try/except,A
До якого стилю часто тяжіє Python?,EAFP,Виключно assert,Тільки LBYL,"Ні EAFP, ні LBYL",A
Чому except Exception: pass є небезпечним?,Завжди породжує SyntaxError,Приховує дефекти та руйнує спостережуваність,Не перехоплює жодних помилок,Автоматично завершує процес,B
Що показує traceback?,Лише список імпортів,Тільки час виконання,Список відкритих файлів,Шлях викликів до місця виникнення exception,D
З чого зазвичай починають аналіз traceback?,"З останнього рядка з типом, повідомленням і проблемним фрагментом",З першого import,З версії операційної системи,З середини стека випадково,A
Що таке context manager?,Функція сортування,"Об'єкт або конструкція, що керує входом і гарантованим виходом із контексту",Тип винятку,Модуль для тестів,B
Для чого використовується with?,Для створення класу exception,Для оголошення циклу,Для детермінованого керування ресурсами,Для перехоплення всіх винятків,C
Що відбувається з файлом після виходу з with open(...)?,Файл закривається навіть при exception,Файл видаляється,Файл перетворюється на bytes,Файл завжди залишається відкритим,A
Які методи реалізує класичний користувацький context manager?,__repr__ і __str__,__get__ і __set__,__enter__ і __exit__,__iter__ і __next__,C
Що зазвичай робить __enter__?,Завжди пригнічує exception,Закриває ресурс,Породжує SystemExit,Виконує вхід у контекст і може повернути ресурс,D
Яку інформацію отримує __exit__?,Лише результат __enter__,Тільки ім'я файла,"Інформацію про exception, якщо він виник",Тільки logger,C
Коли exception вважається пригніченим у __exit__?,Коли повертає False,Коли __exit__ повертає True,Коли викликається print,Коли повертає None завжди,B
Що означає return False з __exit__?,Видалити traceback,Завжди перетворити exception на warning,Не пригнічувати exception,Повторити контекст,C
Для чого contextlib.contextmanager?,Для типізації exceptions,Для автоматичного retry,Для створення context manager на основі generator function з одним yield,Для форматування логів,C
Що виконується до yield у contextmanager?,Rollback завжди,Acquire частина,Тільки logging,Release частина,B
Що виконується після yield у contextmanager?,Type checking,Release або cleanup частина,Створення класу,Імпорт модуля,B
Для чого contextlib.suppress?,Для свідомого ігнорування вузького конкретного exception,Для приховування всіх Exception,Для створення traceback,Для повторного raise,A
Для чого contextlib.closing?,Щоб завершити Python,"Щоб додати context-management об'єкту, який має close()",Щоб видалити файл,Щоб пригнітити TimeoutError,B
Для чого nullcontext?,"Для випадку, коли context manager потрібен лише умовно",Для закриття всіх файлів,Для створення null exception,Для логування None,A
Для чого ExitStack?,Для зберігання exception hierarchy,Для створення потоків,Для аналізу traceback,Для керування динамічною кількістю context managers,D
Що гарантує ExitStack для вже відкритих ресурсів?,Вони автоматично кешуються,"Закриття всіх ресурсів, які встигли успішно відкритися",Вони будуть видалені з диска,Вони залишаться відкритими,B
Як context manager може моделювати транзакцію?,Commit завжди до операції,Commit при успіху та rollback при exception,Через suppress усіх помилок,Rollback завжди,B
Що повинен зробити transaction manager після rollback у except за прикладом лекції?,Повторно породити exception,Повернути True,Пригнітити його безумовно,Перетворити на INFO,A
Чому logging у production корисніший за print?,print автоматично ротує файли,"Має рівні, форматування, timestamps, destinations і підтримку traceback",logging не потребує конфігурації,print підтримує exception chaining,B
Який рівень logging призначений для детальної діагностики?,ERROR,INFO,CRITICAL,DEBUG,D
