Question,A,B,C,D,Prav_vid
Що охоплює мережеве програмування за лекцією?,Тільки створення SQL-таблиць,Обмін даними між процесами через мережу,Лише роботу з локальними файлами,Виключно компіляцію Python,B
Що визначає API?,Фізичну топологію мережі,Тільки формат JSON,Версію Python,Контракт взаємодії між програмними компонентами,D
Хто ініціює request у моделі клієнт–сервер?,Сервер,DNS завжди,База даних,Клієнт,D
Що робить сервер у моделі клієнт–сервер?,Обробляє request і повертає response,Лише зберігає JSON,Завжди ініціює request до клієнта,Тільки створює URL,A
Які компоненти може містити типовий URL?,"Scheme, host, port, path, query string і fragment",Лише scheme та header,"Method, status code і body",Тільки host і body,A
Чи передається URL fragment HTTP-серверу зазвичай?,Тільки через HTTPS,Лише для POST,Ні,"Так, завжди",C
Що таке HTTP?,Формат серіалізації Python,Прикладний request-response протокол,Реляційна СУБД,Мова програмування,B
Чим HTTPS відрізняється від HTTP?,HTTPS не має status codes,HTTPS працює тільки з JSON,HTTPS не використовує HTTP semantics,HTTP працює поверх захищеного TLS-з'єднання,D
Що концептуально містить HTTP request?,Лише JSON body,"Method, target, headers і за потреби body",Тільки status code,Тільки URL fragment,B
Що містить HTTP response?,Лише query parameters,Тільки HTTP method,"Status code, headers і response body",Тільки path parameter,C
Для чого типовий GET?,Для отримання ресурсу,Для повної заміни ресурсу,Для створення ресурсу завжди,Для часткового оновлення,A
Для чого типовий POST?,Тільки для видалення,Для створення ресурсу або запуску операції,Для безпечного читання ресурсу,Для повної заміни ресурсу,B
Для чого типовий PUT?,Для читання,Для отримання документації,Для повної заміни ресурсу,Для часткового оновлення,C
Для чого типовий PATCH?,Для встановлення TLS,Для DNS-запиту,Для отримання ресурсу,Для часткової зміни ресурсу,D
Для чого типовий DELETE?,Для сортування JSON,Для валідації Pydantic,Для створення ресурсу,Для видалення ресурсу,D
Що означає safe HTTP method?,Він не може повернути помилку,Він завжди idempotent лише через назву,Він завжди використовує HTTPS,Його основний ефект не повинен змінювати server state,D
Що означає idempotent operation?,Запит завжди повертає 200,Операція ніколи не змінює стан,Операція виконується лише один раз,"Повторні однакові запити мають той самий intended effect, що й один",D
Який метод є safe та idempotent за лекцією?,POST,GET,PATCH,CONNECT,B
"Які методи зазвичай idempotent, але не safe?",POST і PATCH,OPTIONS і POST,GET і HEAD лише,PUT і DELETE,D
