Question,A,B,C,D,Prav_vid
Що таке база даних за лекцією?,Тільки набір Python-класів,Організована сукупність даних,Мова програмування для SQL,Файл виключно формату CSV,B
Яку роль виконує СУБД?,Лише компілює Python,Тільки створює HTML,Виконує лише сортування списків,"Забезпечує зберігання, пошук, конкурентний доступ, транзакції та контроль цілісності",D
Як реляційна модель представляє дані?,Лише як Python-словники,Тільки як графічні файли,Виключно як JSON,"У вигляді таблиць, пов'язаних ключами",D
Що являє собою рядок реляційної таблиці?,Конкретний запис,Індекс Python-списку,Назву бази,Атрибут сутності,A
Що являє собою стовпець таблиці?,Атрибут сутності,Connection pool,Транзакцію,Окрему СУБД,A
Що визначає схема бази даних?,Тільки назву файла,Тільки SQL SELECT,"Структуру таблиць, типи даних, constraints та relationships",Лише пароль користувача,C
Для чого PRIMARY KEY?,Для створення transaction pool,Для однозначної ідентифікації рядка,Для підключення до PostgreSQL,Для сортування всіх таблиць,B
Для чого FOREIGN KEY?,Для виконання rollback,Для заміни PRIMARY KEY,Для шифрування даних,Для посилання на ключ іншої таблиці та підтримки referential integrity,D
Що означає referential integrity?,Форматування результатів SELECT,Узгодженість посилань між пов'язаними таблицями,Автоматичне кешування SQL,Зберігання паролів,B
Які команди належать до DDL?,"BEGIN, COMMIT, ROLLBACK","INSERT, UPDATE, DELETE","CREATE, ALTER, DROP","SELECT, FETCH, PRINT",C
Які команди належать до DML за лекцією?,"INSERT, UPDATE, DELETE","CREATE, ALTER, DROP","SELECT, JOIN, GROUP","BEGIN, COMMIT, ROLLBACK",A
Яка команда використовується для отримання даних?,ALTER,SELECT,DROP,ROLLBACK,B
Які команди належать до transaction control?,"SELECT, WHERE, LIMIT","INSERT, UPDATE, DELETE","BEGIN, COMMIT, ROLLBACK","CREATE, DROP, ALTER",C
Для чого constraint NOT NULL?,Щоб виконати JOIN,Щоб створити індекс,Щоб зробити стовпець PRIMARY KEY автоматично,Щоб заборонити NULL у відповідному стовпці,D
Для чого UNIQUE constraint?,Щоб видалити дублікати під час SELECT,Щоб почати транзакцію,Щоб дозволити лише NULL,Щоб вимагати унікальності значень відповідного поля,D
Для чого CHECK constraint?,Для створення connection,Для вимкнення rollback,Для перевірки Python syntax,Для фіксації допустимої умови для значень на рівні БД,D
Що робить INSERT?,Повертає всі рядки,Видаляє таблицю,Створює індекс,Додає нові рядки до таблиці,D
Для чого WHERE у SELECT?,Для сортування,Для фільтрації рядків,Для створення таблиці,Для завершення транзакції,B
Для чого ORDER BY?,Для фільтрації агрегованих груп,Для rollback,Для вставки рядків,Для визначення порядку результатів,D
Для чого LIMIT?,Для зміни типу колонки,Для створення FOREIGN KEY,Для обмеження кількості рядків результату,Для commit,C
Чому UPDATE без WHERE може бути небезпечним?,Він автоматично виконує rollback,Може змінити всі рядки таблиці,Він завжди створює нову таблицю,Він не підтримується SQL,B
Чому DELETE без WHERE може бути небезпечним?,Може видалити всі рядки таблиці,Створює duplicate,Видаляє лише один випадковий рядок,Не виконується в SQL,A
Які агрегатні функції наведено в лекції?,"JOIN, WHERE, LIMIT","COUNT, SUM, AVG, MIN, MAX","CREATE, DROP, ALTER","COMMIT, SAVEPOINT, ROLLBACK",B
Для чого GROUP BY?,Для формування груп рядків перед агрегуванням,Для створення connection pool,Для сортування Python-об'єктів,Для видалення таблиць,A
Чим HAVING відрізняється від WHERE у контексті лекції?,Різниці немає,WHERE працює лише після COMMIT,HAVING фільтрує вже агреговані групи,HAVING створює таблиці,C
Що робить INNER JOIN?,Створює індекс,Повертає відповідні пари рядків із пов'язаних таблиць,Завжди зберігає всі рядки лівої таблиці,Видаляє дублікати,B
Що робить LEFT JOIN?,Змінює schema,"Зберігає всі рядки лівої таблиці, додаючи відповідні дані правої",Виконує rollback,Повертає лише рядки без відповідностей,B
