Question,A,B,C,D,Prav_vid
"Що означає, що функції в Python є об'єктами першого класу?",Вони не можуть бути значеннями словника,"Їх можна присвоювати змінним, передавати, повертати та зберігати в контейнерах",Їх можна лише викликати за іменем,Вони завжди виконуються під час визначення,B
Що означає ім'я функції без круглих дужок?,Обов'язковий виклик функції,Видалення функції,Створення нового модуля,Доступ до об'єкта функції,D
Що означають круглі дужки після імені функції?,Збереження функції без виконання,Перетворення функції на клас,Створення closure,Виклик функції,D
"Для чого можна використати словник, значеннями якого є функції?",Для диспетчеризації команд або операцій,Для автоматичного кешування,Для створення GIL,Лише для зберігання рядків,A
Що таке функція вищого порядку?,"Функція, яка приймає або повертає іншу функцію","Функція, визначена у класі",Функція без return,Функція лише з двома параметрами,A
Що документують анотації типів функції?,Вони роблять функцію immutable,Вони автоматично перевіряють усі типи під час runtime,Очікуваний контракт параметрів і результату,Вони змінюють механізм виконання Python,C
Який атрибут функції містить її ім'я?,__closure__,__name__,__defaults__,__doc__,B
Який атрибут функції містить docstring?,__defaults__,__annotations__,__name__,__doc__,D
Який атрибут функції містить анотації типів?,__name__,__annotations__,__doc__,__closure__,B
Який атрибут функції містить значення параметрів за замовчуванням?,__name__,__annotations__,__defaults__,__call__,C
Чим параметр відрізняється від аргументу?,"Параметр є ім'ям у визначенні, аргумент — конкретним значенням під час виклику",Це повністю однакові поняття,Параметр завжди є глобальною змінною,Аргумент існує лише в декораторах,A
"Що робить символ * у сигнатурі create_user(name, age=18, *, active=True)?",Створює lambda,Робить наступні параметри keyword-only,Збирає всі параметри у dict,Робить active позиційно-обмеженим,B
У який тип *args збирає додаткові позиційні аргументи?,list,set,tuple,dict,C
Що визначає механізм *args?,Декоратор wraps,Ключове слово tuple,Лише точна назва args,"Символ *, а назва args є домовленістю",D
Що робить *dimensions у виклику volume(*dimensions)?,Створює closure,Кешує результат,Збирає аргументи у dict,Розпаковує ітерабельний об'єкт у позиційні аргументи,D
У який тип **kwargs збирає додаткові іменовані аргументи?,set,list,tuple,dict,D
Що робить **config у виклику connect(**config)?,Створює namedtuple,Розпаковує лише значення як позиційні аргументи,Виконує кешування,Розпаковує словник в іменовані аргументи,D
Яка вимога до ключів словника при **config?,Вони мають бути лише числами,Вони повинні відповідати іменам параметрів функції,Усі ключі повинні називатися args,Ключі мають бути mutable,B
"Для чого типово використовується wrapper(*args, **kwargs)?",Для створення лише числових функцій,Для перетворення функції на set,Для заборони keyword-аргументів,Для проксування довільної сигнатури іншій функції,D
Чому надмірні *args/**kwargs можуть погіршувати публічний API?,Вони завжди спричиняють SyntaxError,Вони забороняють return,Вони можуть приховувати явний контракт функції,Вони автоматично очищають кеш,C
Що створює lambda?,Декоратор-клас,Анонімну функцію з тілом з одного виразу,Новий клас,Модуль,B
Де lambda особливо доречна за лекцією?,Як коротка key-функція сортування або callback,Для великої доменної логіки,Для багатокрокової обробки помилок,Для визначення модулів,A
Коли def кращий за lambda?,Коли потрібен один короткий вираз як key,"Коли логіка складна, повторно використовувана або потребує документації",Ніколи,Лише коли функція не має параметрів,B
Що означає LEGB?,"Local, Enclosing, Global, Built-in","Lambda, Enum, Global, Base","List, Exception, Generator, Boolean","Local, External, Git, Binary",A
Яку область Python перевіряє першою за правилом LEGB?,Enclosing,Built-in,Local,Global,C
Для чого використовується global?,Для створення lru_cache,Для переприв'язування глобального імені всередині функції,Для створення локальної копії,Для захоплення лише built-in імен,B
Чому надмірний глобальний стан небажаний?,Він робить функції чистими,Він ускладнює тестування та аналіз залежностей,Він необхідний для closure,Він прискорює всі функції,B
Для чого використовується nonlocal?,Для зміни імені з найближчої enclosing-області,Для створення нового модуля,Для видалення локальної області,Для зміни лише глобальної змінної,A
Що таке closure?,Необмежений кеш,Функція без параметрів,Декоратор лише для класів,"Функція, що зберігає доступ до змінних зовнішньої функції після її завершення",D
Що зберігає make_multiplier у поверненій функції?,Список усіх викликів автоматично,Лише ім'я multiply,Значення factor із зовнішньої області,Глобальний GIL,C
Який атрибут дозволяє інспектувати захоплені closure-комірки?,__module__,__closure__,__defaults__,__name__,B
Для чого closure minimum_length(length) зручний?,Для читання файлів,Для запуску потоків,Для створення конфігурованого валідатора,Для сортування словника,C
У чому проблема late binding у lambda всередині циклу?,"Lambda звертається до змінної під час виклику, а не зберігає її окреме значення кожної ітерації",Python копіює i двічі,Цикл забороняє функції,Lambda завжди викликається одразу,A
Що повернуть lambda-функції з прикладу late binding без виправлення?,"[2, 2, 2]","[1, 2, 3]","[0, 1, 2]","[0, 0, 0]",A
Як у лекції виправлено late binding?,Через global i,Через параметр за замовчуванням lambda i=i: i,Через lru_cache,Через functools.reduce,B
Що таке декоратор?,Лише спеціальний коментар,Вид контейнера,Синтаксис для циклу,"Callable, який приймає функцію або клас і повертає модифікований callable",D
Чому еквівалентний запис @decorator над function?,function = decorator(function),decorator = function(),function() = decorator(),function = decorator,A
Що робить простий decorator wrapper до та після виклику?,Створює новий процес,Може додавати поведінку навколо оригінальної функції,Обов'язково змінює тип усіх аргументів,Завжди кешує результат,B
Навіщо wrapper декоратора часто приймає *args і **kwargs?,Щоб змінити LEGB,Щоб заборонити аргументи,Щоб передавати довільні аргументи оригінальній функції,Щоб автоматично створити tuple результатів,C
"Що станеться з контрактом, якщо wrapper не поверне результат func?",Результат оригінальної функції буде втрачено,Функція стане generator,Виникне обов'язковий SyntaxError,Результат автоматично поверне Python,A
Яка проблема виникає без functools.wraps?,Python вимикає decorators,Виникає GIL,Втрачаються або підміняються метадані оригінальної функції,Функція не може мати аргументів,C
Які метадані допомагає зберегти wraps?,Лише значення глобальних змінних,Тільки кеш,Лише локальні аргументи,Зокрема __name__ і __doc__,D
Яка практика рекомендована для функціональних декораторів?,Завжди використовувати global,Завжди уникати return,Застосовувати functools.wraps,Не приймати аргументи,C
Скільки функціональних рівнів зазвичай має параметризований декоратор repeat(times)?,Один,"Три: фабрика, decorator і wrapper",П'ять обов'язково,Два без wrapper,B
Що робить repeat(3) у прикладі?,Очищає кеш тричі,Одразу тричі викликає будь-яку функцію в модулі,"Створює decorator, налаштований на три повторення",Створює три процеси,C
Для чого використано perf_counter у timed?,Для кешування,Для підрахунку аргументів,Для вимірювання тривалості виконання,Для створення callback,C
Яке призначення log_call?,Змінювати GIL,Логувати факт виклику функції,Створювати closure-комірки,Виконувати сортування,B
Що робить require_role(required_role)?,Виконує multiprocessing,Створює декоратор перевірки ролі користувача,Автоматично шифрує дані,Створює namedtuple ролей,B
Який виняток піднімає приклад require_role при відмові доступу?,PermissionError,KeyError,ImportError,StopIteration,A
Як застосовуються @decorator_a та @decorator_b до function?,Обидва ігноруються,function = decorator_a(decorator_b(function)),function = decorator_b(decorator_a()),function = decorator_a + decorator_b,B
Який декоратор найближчий до функції застосовується першим під час створення об'єкта?,decorator_b,Жоден,decorator_a,Обидва одночасно без вкладеності,A
Що містить модуль functools?,Лише HTTP-клієнти,Лише класи винятків,Лише файлові функції,Засоби для функцій вищого порядку та callable-об'єктів,D
Що робить functools.reduce?,Створює декоратор автоматично,"Послідовно накопичує результат, застосовуючи функцію",Розпаковує kwargs,Кешує всі функції модуля,B
Що рекомендує лекція для звичайної суми замість reduce?,nonlocal,Спеціалізовану вбудовану функцію sum,namedtuple,Власний декоратор,B
Що робить functools.partial?,"Створює callable з частиною аргументів, зафіксованих наперед",Створює необмежений кеш,Викликає функцію в окремому потоці,Змінює область LEGB,A
Що таке часткове застосування функції?,Видалення частини коду функції,Попередня фіксація частини її аргументів,Виконання лише половини циклу,Створення двох декораторів,B
"Що фіксує square = partial(power, exponent=2)?",Результат power,Аргумент base зі значенням 2,Ім'я функції,Аргумент exponent зі значенням 2,D
Яка перевага partial у конфігурації?,Автоматично робить функцію async,Завжди працює швидше за будь-який def,Знімає вимогу hashable,Дозволяє уникнути багатьох майже однакових wrapper-функцій,D
Як partial використовується як callback у прикладі?,Очищає callback після першого виклику,Фіксує event_type наперед,Створює цикл подій,Фіксує payload після виклику,B
Чим partial концептуально відрізняється від lambda у прикладі multiply?,lambda завжди має кеш,"partial прямо виражає фіксацію аргументів, lambda дозволяє довільний вираз",Вони мають протилежні правила LEGB,partial може працювати лише з числами,B
Що таке кешування функції?,Автоматичне логування,Перетворення функції на клас,Збереження лише імені функції,Збереження результату для повторного використання з тим самим набором аргументів,D
Для яких обчислень кешування особливо доречне?,Для дорогих чистих або функціонально стабільних повторюваних обчислень,Для функцій з обов'язковим побічним ефектом кожного разу,Для випадкового часу без аргументів,Для будь-яких mutable-результатів без обмежень,A
Який недолік ручного словника-кешу зазначено в лекції?,Він автоматично необмежено швидкий,Python забороняє dict у функціях,Він не може зберігати числа,"Потрібно самостійно керувати ключами, розміром, статистикою та очищенням",D
Що означає LRU в lru_cache?,Last Runtime Utility,Least Recently Used,Local Recursive Unit,Linked Return Usage,B
Що відбувається при заповненні обмеженого lru_cache?,Видаляється сама функція,Python завершує програму,Усі записи дублюються,Витісняються давно не використані записи,D
Що станеться при другому calculate(10) з @lru_cache?,Буде повернуто закешований результат,Кеш автоматично очиститься,Виникне TypeError,Функція обов'язково перерахує результат,A
Чому lru_cache різко покращує рекурсивний Fibonacci?,Перетворює рекурсію на multiprocessing,Уникає повторного обчислення однакових підзадач,Змінює числа Fibonacci,Вимикає базові випадки,B
Що означає maxsize=None у lru_cache?,Кеш містить лише один елемент,Розмір кешу дорівнює нулю,Необмежений розмір кешу,Кеш вимкнений,C
Що повертає cache_info()?,Список аргументів,Docstring,Тільки останній результат функції,"Статистику hits, misses, maxsize і currsize",D
Для чого використовується cache_clear()?,Для очищення stdout,Для скидання global-області,Для очищення кешу,Для видалення функції,C
Якими мають бути аргументи функції з lru_cache?,Hashable,Тільки dict,Тільки list,Обов'язково mutable,A
"Чому total([1,2,3]) з lru_cache спричиняє помилку?",Список має забагато елементів,sum не працює зі списками,list є unhashable,lru_cache приймає лише рядки,C
Який аргумент можна використати замість list для кешованого total?,set,bytearray,dict,tuple,D
Коли lru_cache недоречний через побічні ефекти?,Коли результат часто повторюється,Коли функція чиста,Коли побічний ефект повинен виконуватися при кожному виклику,Коли аргументи hashable,C
"Чому небезпечно кешувати результат, залежний від зовнішнього стану?",Python забороняє зовнішній стан,Ключ кешу може не відображати зміну цього стану,Зовнішній стан завжди hashable,Кеш автоматично оновлюється при будь-якій зміні,B
Чому @lru_cache для current_time() семантично неправильний?,Функція не має docstring,Повторні виклики повертають те саме закешоване значення часу,Час не можна повертати з функції,datetime.now() завжди повертає None,B
Який ризик має необмежений кеш із великою кількістю унікальних ключів?,Перетворення кешу на tuple,Автоматичне видалення Python,Надмірне споживання пам'яті,Завжди SyntaxError,C
Який ризик кешування mutable-об'єкта як результату?,Споживач може змінити закешований об'єкт,Вони автоматично стають immutable,Mutable-об'єкти не можна повертати,Вони завжди копіюються lru_cache,A
Що таке functools.cache?,"Спрощена необмежена мемоізація, подібна до lru_cache(maxsize=None)",Декоратор логування,Правило областей видимості,Обмежений deque,A
Коли functools.cache зручний?,Коли ключів необмежено багато і пам'ять не контролюється,Коли потрібен побічний ефект кожного разу,Коли аргументи — list,Коли множина можливих ключів контрольована,D
Що таке функціональний pipeline?,Набір глобальних змінних,Ланцюг класів наслідування,Послідовність незалежних функцій-перетворень,Тип кешу,C
Яка перевага pipeline зі списку функцій?,Він не дозволяє змінювати операції,Він завжди виконується паралельно,Він потребує лише lambda,Його склад можна конфігурувати даними й тестувати операції окремо,D
Що робить map у прикладі з numbers?,Фільтрує лише парні числа,Застосовує функцію до елементів послідовності,Кешує список,Створює словник без функції,B
Що робить filter у прикладі?,Множить усі елементи,Відбирає елементи за предикатом,Створює closure,Сортує список,B
Що часто читабельніше в Python замість map/filter з простими lambda?,Comprehensions,Декоратор-клас,global/nonlocal,cache_clear,A
Коли map/filter залишаються корисними?,Лише для mutable default arguments,Тільки всередині класу,Коли вже є іменована функція або будується лінивий pipeline,Тільки з global,C
Що означає callable-об'єкт?,Тільки декоратор,"Об'єкт, який можна викликати синтаксисом з круглими дужками","Лише функція, визначена через lambda",Будь-який immutable контейнер,B
Який метод робить екземпляр класу callable?,__closure__,__call__,__doc__,__name__,B
Коли callable-клас може бути кращим за closure?,Коли потрібна лише коротка lambda,Коли стану взагалі немає,Коли треба тільки sorted key,Коли поведінка потребує складнішого стану та додаткових методів,D
Яка перевага closure для невеликого прихованого стану?,Обов'язкова підтримка наслідування,Висока компактність,Повна явність великої моделі стану,Багато додаткових методів,B
Яка перевага callable-класу над closure?,Не має __call__,Не може зберігати стан,Завжди коротший,Може мати додаткові методи й підтримувати наслідування,D
Для чого в класовому декораторі CountCalls використовується count?,Для розміру lru_cache,Для номера рядка коду,Для кількості аргументів функції,Для підрахунку кількості викликів,D
"Що робить update_wrapper(self, func) у класовому декораторі?",Створює nonlocal,Допомагає зберегти метадані декорованої функції,Запускає func,Очищає кеш,B
Коли класовий декоратор особливо зручний?,Коли декоратор має власний значний стан,Коли потрібен лише простий список,Коли немає поведінки,Коли функція не викликається,A
"Що поєднує практичний приклад process(records, transform)?",лише lambda,лише global,"timed, partial, передачу функції та lru_cache","multiprocessing, threading і GIL",C
Для чого normalize_default створено через partial?,Для фіксації параметрів normalize,Для кешування tokenize,Для створення класу,Для вимірювання часу,A
Чому tokenize повертає tuple у прикладі?,"Це стабільний результат, придатний для такого функціонального використання й не потребує mutable-списку",Тому що split повертає tuple,Тому що timed вимагає tuple,Тому що lru_cache забороняє повертати list,A
