Question,A,B,C,D,Prav_vid
Що означає твердження «у Python практично все є об'єктом»?,Об'єктами є лише змінні,"Числа, рядки, функції, класи, модулі та екземпляри мають об'єктну природу",Об'єктами є лише екземпляри користувацьких класів,Функції та класи не є об'єктами,B
Об'єкт у Python характеризується чим?,Лише ім'ям змінної,Тільки адресою файла,Лише набором методів,"Ідентичністю, типом і станом",D
Чим є клас у Python?,Спеціальним видом циклу,Лише текстовим шаблоном,"Об'єктом, який не має типу","Об'єктом, що може слугувати фабрикою екземплярів і простором атрибутів",D
Який тип має користувацький клас Student за замовчуванням?,type,module,class_factory,object_instance,A
Що таке атрибут класу?,"Атрибут, визначений у просторі класу і спільно доступний через клас та екземпляри","Атрибут, який існує лише в одному екземплярі",Параметр функції,Локальна змінна методу,A
Що таке атрибут екземпляра?,Метаклас,Завжди константа класу,"Атрибут, пов'язаний із конкретним екземпляром",Атрибут модуля,C
Яку роль виконує self в instance method?,Завжди містить ім'я методу,Посилається на поточний екземпляр,Посилається на базовий клас,Є спеціальним ключовим словом Python,B
"Що станеться при присвоєнні a.university, якщо university існує як атрибут класу?",Атрибут буде видалено з класу,Python заборонить присвоєння,Зміниться атрибут класу для всіх екземплярів обов'язково,"В екземплярі a з'явиться атрибут, що затінює атрибут класу для цього екземпляра",D
Як у Python за домовленістю позначають непублічну деталь реалізації?,Подвійною крапкою,Одним початковим підкресленням у назві,Словом private,Суфіксом _public,B
Що робить подвійне початкове підкреслення в атрибуті на кшталт __value?,Робить атрибут глобальним,Створює криптографічний захист,Запускає name mangling,Автоматично створює property,C
Яка основна мета name mangling?,Зменшення випадкових конфліктів імен у підкласах,Повний захист даних від доступу,Серіалізація атрибутів,Прискорення програми,A
Яке відношення моделює наслідування?,contains-file,is-a,has-a,uses-a only,B
Що робить підклас у відношенні до базового типу?,Не може мати власних методів,Автоматично стає dataclass,Спеціалізує його та може повторно використовувати або перевизначати поведінку,Завжди видаляє поведінку базового класу,C
Що таке перевизначення методу?,Створення staticmethod,Перейменування змінної,Виклик методу двічі,Надання підкласом власної реалізації методу базового класу,D
Для чого використовується super()?,Для створення нового процесу,Для доступу до глобальних змінних,Лише для прямого виклику першого батьківського класу,Для делегування пошуку наступному класу відповідно до MRO,D
