Question,A,B,C,D,Prav_vid
Яка абстракція зручна для незалежних валідацій кількох полів?,Тільки Monad bind,Thread,Generator,Applicative,D
Що містить self._callbacks у Future?,Результати всіх обчислень,"Функції, які треба викликати після завершення",Потоки ОС,Лише помилки,B
Що станеться з map для порожнього List?,Результатом буде порожній список,Буде [None],Функція виконається один раз,Виникне Err,A
Яка операція характерна для монади?,zip,map лише,apply лише,bind,D
Яка послідовність правильно відображає зростання можливостей?,Future → Result → map,Applicative → List → Option,Monad → Functor → Applicative,Functor → Applicative → Monad,D
Що робить AsyncValue.run()?,Виконує bind без await,Очікує coroutine через await і повертає результат,Видаляє coroutine,Створює Option,B
Що поверне Some(10).bind(lambda x: Some(x+5))?,None_,15 без контексту,Some(10),Some(15),D
Що робить map у функторі?,Знищує контейнер,"Змінює значення всередині контексту, не змінюючи сам контекст",Завжди витягує значення з контексту,Перетворює будь-який контекст на List,B
"Коли виконується функція, зареєстрована через Future.map?",Тільки після завершення програми,Завжди негайно до запуску Future,Коли Future завершиться і дасть значення,Ніколи,C
"Який контекст представляє значення, що з'явиться пізніше?",Option,Result,Set,Future/async,D
Чому функція в map не виконується для None?,map працює лише з числами,"Немає значення, до якого її можна застосувати",Функція стає глобальною,None автоматично стає нулем,B
Яка Haskell-функція відповідає Python map для списку?,await,fmap/map,bind лише,raise,B
"Яка абстракція потрібна, якщо маємо звичайну f:A→B і F[A]?",Functor/map,Monad/bind обов'язково,Thread,Exception,A
Чим applicative відрізняється від functor?,Applicative не працює з контекстами,Functor підтримує лише async,"Applicative може застосовувати функцію, що сама загорнута в контекст",Functor завжди сильніший за Monad,C
Що отримує f2 = f1.map(lambda d: d['count'])?,Future[dict],Result[int],int,Future[int],D
Що перевіряє validate_name у прикладі реєстрації?,Тільки країну,Тільки вік,Асинхронність,Коректність імені,D
Що є контекстом Future?,Значення є помилкою,Значення є списком,Значення буде доступне в майбутньому,Значення обов'язково відсутнє,C
Яка базова операція функтора?,bind,apply,reduce,map,D
Що означає lazy evaluation у Haskell?,Обчислення виконуються тільки в окремому потоці,Усі вирази виконуються при запуску програми,"Обчислення виконується тоді, коли результат справді потрібний",Функції не повертають значень,C
Що є «контекстом» для Result?,Лише час,Тільки багато значень,Успіх або помилка,Потік,C
Яка головна практична ідея map у валідації Result?,Завжди запускати функцію незалежно від помилки,"Перетворювати успішне значення, автоматично пропускаючи Err",Перетворювати Err на успіх,Накопичувати потоки,B
Який контекст представляє успіх або помилку?,Tuple,Result,List,Option,B
Що повертає Future.map?,Звичайне значення A,Лише callback,Новий Future,None,C
