Question,A,B,C,D,Prav_vid
Яке призначення або значення має «python -m pip» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «pytest»",пов’язує pip з конкретним вибраним інтерпретатором Python,"Виконує функцію, пов’язану з «git status»","Виконує функцію, пов’язану з «ruff check»",B
Що з наведеного пов’язує pip з конкретним вибраним інтерпретатором Python?,git status,pytest,ruff check,python -m pip,D
Яке твердження про «python -m pip» відповідає матеріалу Лекції №1?,git status використовується замість «python -m pip»,pytest повністю виконує роль «python -m pip»,ruff check є основним засобом для цього призначення,«python -m pip» пов’язує pip з конкретним вибраним інтерпретатором Python,D
Студенту потрібно виконати дію: пов’язує pip з конкретним вибраним інтерпретатором Python. Що слід використати?,python -m pip,ruff check,pytest,git status,A
Яке призначення або значення має «src» у професійному Python-проєкті?,містить вихідний код проєкту,"Виконує функцію, пов’язану з «.git»","Виконує функцію, пов’язану з «.venv»","Виконує функцію, пов’язану з «tests»",A
Що з наведеного містить вихідний код проєкту?,.git,.venv,src,tests,C
Яке твердження про «src» відповідає матеріалу Лекції №1?,.git є основним засобом для цього призначення,«src» містить вихідний код проєкту,.venv повністю виконує роль «src»,tests використовується замість «src»,B
Студенту потрібно виконати дію: містить вихідний код проєкту. Що слід використати?,.git,.venv,tests,src,D
Яке призначення або значення має «tests» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «dist»",відокремлює тести від реалізації,"Виконує функцію, пов’язану з «src»","Виконує функцію, пов’язану з «__pycache__»",B
Що з наведеного відокремлює тести від реалізації?,dist,src,tests,__pycache__,C
Яке твердження про «tests» відповідає матеріалу Лекції №1?,«tests» відокремлює тести від реалізації,src використовується замість «tests»,__pycache__ є основним засобом для цього призначення,dist повністю виконує роль «tests»,A
Студенту потрібно виконати дію: відокремлює тести від реалізації. Що слід використати?,__pycache__,tests,src,dist,B
Яке призначення або значення має «README.md» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «.gitignore»","Виконує функцію, пов’язану з «__init__.py»",пояснює призначення проєкту та спосіб його запуску,"Виконує функцію, пов’язану з «pyproject.toml»",C
Що з наведеного пояснює призначення проєкту та спосіб його запуску?,__init__.py,.gitignore,pyproject.toml,README.md,D
Яке твердження про «README.md» відповідає матеріалу Лекції №1?,.gitignore повністю виконує роль «README.md»,__init__.py є основним засобом для цього призначення,pyproject.toml використовується замість «README.md»,«README.md» пояснює призначення проєкту та спосіб його запуску,D
Студенту потрібно виконати дію: пояснює призначення проєкту та спосіб його запуску. Що слід використати?,.gitignore,__init__.py,pyproject.toml,README.md,D
Яке призначення або значення має «pyproject.toml» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «.gitignore»","Виконує функцію, пов’язану з «README.md»","Виконує функцію, пов’язану з «__pycache__»",зберігає метадані проєкту та конфігурацію інструментів,D
Що з наведеного зберігає метадані проєкту та конфігурацію інструментів?,README.md,pyproject.toml,.gitignore,__pycache__,B
Яке твердження про «pyproject.toml» відповідає матеріалу Лекції №1?,README.md використовується замість «pyproject.toml»,__pycache__ є основним засобом для цього призначення,.gitignore повністю виконує роль «pyproject.toml»,«pyproject.toml» зберігає метадані проєкту та конфігурацію інструментів,D
Студенту потрібно виконати дію: зберігає метадані проєкту та конфігурацію інструментів. Що слід використати?,README.md,.gitignore,pyproject.toml,__pycache__,C
Яке призначення або значення має «.gitignore» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «main.py»","визначає файли й каталоги, які не повинні потрапляти до Git-репозиторію","Виконує функцію, пов’язану з «requirements.txt»","Виконує функцію, пов’язану з «README.md»",B
"Що з наведеного визначає файли й каталоги, які не повинні потрапляти до Git-репозиторію?",.gitignore,README.md,requirements.txt,main.py,A
Яке твердження про «.gitignore» відповідає матеріалу Лекції №1?,requirements.txt використовується замість «.gitignore»,"«.gitignore» визначає файли й каталоги, які не повинні потрапляти до Git-репозиторію",README.md повністю виконує роль «.gitignore»,main.py є основним засобом для цього призначення,B
"Студенту потрібно виконати дію: визначає файли й каталоги, які не повинні потрапляти до Git-репозиторію. Що слід використати?",.gitignore,README.md,requirements.txt,main.py,A
Яке призначення або значення має «PEP 8» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «venv»","Виконує функцію, пов’язану з «pip»",задає загальноприйняті правила стилю для читабельного Python-коду,"Виконує функцію, пов’язану з «Git»",C
Що з наведеного задає загальноприйняті правила стилю для читабельного Python-коду?,venv,PEP 8,Git,pip,B
Яке твердження про «PEP 8» відповідає матеріалу Лекції №1?,venv є основним засобом для цього призначення,«PEP 8» задає загальноприйняті правила стилю для читабельного Python-коду,pip повністю виконує роль «PEP 8»,Git використовується замість «PEP 8»,B
Студенту потрібно виконати дію: задає загальноприйняті правила стилю для читабельного Python-коду. Що слід використати?,PEP 8,pip,venv,Git,A
Яке призначення або значення має «snake_case» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «kebab-case»","Виконує функцію, пов’язану з «PascalCase»","Виконує функцію, пов’язану з «UPPER_CASE»",рекомендований стиль іменування змінних і функцій,D
Що з наведеного рекомендований стиль іменування змінних і функцій?,kebab-case,PascalCase,snake_case,UPPER_CASE,C
Яке твердження про «snake_case» відповідає матеріалу Лекції №1?,kebab-case є основним засобом для цього призначення,«snake_case» рекомендований стиль іменування змінних і функцій,PascalCase використовується замість «snake_case»,UPPER_CASE повністю виконує роль «snake_case»,B
Студенту потрібно виконати дію: рекомендований стиль іменування змінних і функцій. Що слід використати?,kebab-case,UPPER_CASE,snake_case,PascalCase,C
Яке призначення або значення має «PascalCase» у професійному Python-проєкті?,рекомендований стиль іменування класів,"Виконує функцію, пов’язану з «UPPER_CASE»","Виконує функцію, пов’язану з «kebab-case»","Виконує функцію, пов’язану з «snake_case»",A
Що з наведеного рекомендований стиль іменування класів?,PascalCase,kebab-case,snake_case,UPPER_CASE,A
Яке твердження про «PascalCase» відповідає матеріалу Лекції №1?,snake_case використовується замість «PascalCase»,«PascalCase» рекомендований стиль іменування класів,UPPER_CASE повністю виконує роль «PascalCase»,kebab-case є основним засобом для цього призначення,B
Студенту потрібно виконати дію: рекомендований стиль іменування класів. Що слід використати?,snake_case,UPPER_CASE,kebab-case,PascalCase,D
Яке призначення або значення має «UPPER_CASE» у професійному Python-проєкті?,рекомендований стиль іменування констант,"Виконує функцію, пов’язану з «snake_case»","Виконує функцію, пов’язану з «camelCase»","Виконує функцію, пов’язану з «PascalCase»",A
Що з наведеного рекомендований стиль іменування констант?,camelCase,UPPER_CASE,snake_case,PascalCase,B
Яке твердження про «UPPER_CASE» відповідає матеріалу Лекції №1?,camelCase є основним засобом для цього призначення,snake_case використовується замість «UPPER_CASE»,«UPPER_CASE» рекомендований стиль іменування констант,PascalCase повністю виконує роль «UPPER_CASE»,C
Студенту потрібно виконати дію: рекомендований стиль іменування констант. Що слід використати?,UPPER_CASE,PascalCase,camelCase,snake_case,A
