Question,A,B,C,D,Prav_vid
Що означає Production Python у лекції?,Тільки використання Docker,"Сукупність інженерних практик для відтворюваності, тестованості, конфігурованості, безпечного розгортання та супроводу",Окрема версія Python для серверів,Лише оптимізація швидкості,B
Чим production-проєкт зазвичай відрізняється від одиночного .py скрипта?,Завжди складається лише з одного файла,Не містить тестів,Не потребує правил запуску,"Має package structure, tests, configuration, dependency metadata, documentation і CI workflow",D
Що таке src-layout?,Структура без package,Розміщення tests усередині Docker image,Зберігання dependencies у README,"Структура, де importable package розміщений під каталогом src",D
Яку проблему допомагає зменшити src-layout?,Випадковий імпорт source tree замість реально встановленого package,Відсутність CI,Помилки Docker port mapping,Витік secrets у Git,A
Що таке Python package?,"Модульна одиниця, яку можна імпортувати",GitHub Actions workflow,Файл requirements.txt,Тільки Docker image,A
Що охоплює packaging?,Тільки написання README,Лише створення virtual environment,"Опис, побудову, встановлення та поширення source code як distribution",Тільки запуск pytest,C
Для чого pyproject.toml?,Для зберігання production secrets,"Для build-system metadata, project metadata та налаштувань інструментів",Лише для Git history,Тільки для Docker configuration,B
Що таке build backend?,Тип virtual environment,HTTP endpoint,Система логування,Реалізація стандартного інтерфейсу побудови distribution artifacts,D
Який приклад build backend наведено в лекції?,docker.build,setuptools.build_meta,pytest.main,os.environ,B
Що може входити до project metadata?,Лише список tests,Тільки пароль до БД,"Назва, версія, опис, Python requirement, dependencies, authors, license та entry points",Тільки Docker ports,C
Що означає MAJOR у semantic versioning?,Несумісні зміни,Сумісні виправлення,Зміна лише README,Сумісна нова функціональність,A
Що означає MINOR у semantic versioning?,Видалення package metadata,Сумісна нова функціональність,Несумісні зміни,Тільки security patch,B
Що означає PATCH у semantic versioning?,Нова major architecture,Зміна Python interpreter,Сумісні виправлення,Несумісний API redesign,C
Що таке wheel?,Git branch,Docker layer,Файл із environment variables,Built distribution у форматі .whl,D
Яка перевага wheel для pure Python package?,Не потребує Python,Автоматично запускає CI,Завжди містить production secrets,Зазвичай встановлюється без build stage на машині користувача,D
Що таке source distribution?,Virtual environment,Coverage report,Runtime container,"Архів source package і metadata, з якого можна побудувати wheel",D
Яка команда створює wheel і sdist через build frontend?,python -m pytest build,python -m venv dist,docker run build,python -m build,D
У якому каталозі зазвичай з'являються distribution artifacts після python -m build?,src,dist,tests,.venv,B
Що означає editable install?,Package стає read-only,Package працює лише в Docker,Dependencies видаляються,"Package встановлений так, що source changes доступні без повторної інсталяції",D
Яка команда виконує editable install локального package?,python -m build -e,pip freeze -e .,python -m pip install -e .,docker install -e .,C
Для чого [project.scripts] у pyproject.toml?,Для coverage threshold,Для оголошення command-line entry points,Для зберігання secrets,Для Docker layers,B
Що охоплює dependency management?,"Declaration, resolution, installation, isolation, pinning, updates і security review",Лише створення requirements.txt,Тільки pip install,Тільки оновлення Python,A
Навіщо virtual environment?,Для заміни Docker registry,Для ізоляції packages конкретного проєкту від глобального Python environment,Для створення GitHub repository,Для зберігання API keys,B
Яка команда створює virtual environment .venv?,python -m venv .venv,python -m build .venv,python -m pip .venv,docker venv .venv,A
Чому в лекції рекомендується запускати pip як python -m pip?,Щоб приховати dependencies,Щоб створити wheel автоматично,Щоб явно використовувати pip конкретного interpreter/environment,Щоб pip працював без internet,C
Що таке direct dependency?,Docker base image,"Бібліотека, яку явно потребує ваш код","Бібліотека, потрібна лише іншій dependency",Будь-який файл у src,B
