Question,A,B,C,D,Prav_vid
Що має містити ядро за правилом 1?,Файлові операції,Прямі мережеві виклики,Глобальні сінглтони часу,Чисті функції та незмінні моделі,D
Що не повинно бути відомо чистому ядру?,Типи його аргументів,"Файлові шляхи, сокети та поточний час",Незмінні моделі,Власні чисті функції,B
Що стало можливим після ін'єкції clock?,Тестувати час без залежності від реального datetime.now(),Зробити Summary змінним,Видалити IO-шар,Заборонити unit-тести,A
Яку властивість перевіряє property-тест для by_user?,by_user завжди порожній,Усі user_id однакові,Ключі by_user завжди відсортовані,Сума значень by_user дорівнює total,D
Який поріг використано в assign_bucket?,10,1.5,0.0,0.5,D
Що робить filter_ok(txs)?,Записує транзакції у файл,Залишає транзакції зі status == 'ok',Додає випадкові статуси,Сортує транзакції за user_id,B
Чим Iterator[T] відрізняється від Iterable[T] у поясненні лекції?,Між ними немає жодної різниці,Iterable завжди має метод write,Iterator завжди є словником,Iterator має __next__ і споживається під час проходу,D
Що з наведеного є джерелом недетермінізму?,Локальна арифметика,Випадковість,Незмінний tuple,Чиста композиція,B
Що таке HOF?,Мережевий протокол,Формат файлу,Функція вищого порядку,Тип бази даних,C
Що таке референційна прозорість?,Можливість змінювати глобальний стан,Можливість виконувати print у будь-якій функції,Можливість приховувати типи,Можливість замінити вираз його значенням без зміни поведінки програми,D
Чому чисті функції легше паралелізувати?,Вони завжди працюють лише в одному потоці,Вони не змагаються за спільний змінний стан,Вони обов'язково використовують GPU,Вони не приймають аргументів,B
"Що означає Callable[[int], str]?",Функція без аргументів повертає int,Функція приймає int і повертає str,Функція приймає str і повертає int,Список рядків,B
Який бонусний варіант роботи з великими CSV запропоновано?,Стрімінгове читання через генератори і yield from,Зберігати весь файл у глобальній змінній,Конвертувати CSV у зображення,Використовувати sleep між рядками,A
Що перевіряє test_summarize_basic щодо count?,count дорівнює total,count є рядком,count дорівнює кількості переданих транзакцій,count завжди дорівнює 1,C
Що у вихідному прикладі робить datetime.now()?,Гарантує референційну прозорість,Видаляє побічні ефекти,Робить функцію чистою,Додає залежність від поточного часу,D
Який стиль імен рекомендовано в міні-чеклісті?,data2 і tmp1 як стандарт,Однолітерні імена всюди,camelCase обов'язково,Зрозумілі snake_case,D
Що означає T = TypeVar('T')?,Оголошення глобального таймера,Запуск тесту T,Оголошення змінної типу T,Створення текстової змінної зі значенням T,C
Яка умова характерна для чистої функції?,Функція завжди читає файл,Функція використовує datetime.now(),Функція обов'язково змінює глобальну змінну,Однаковий вхід дає однаковий вихід і немає побічних ефектів,D
Для чого використовується модуль typing?,Для шифрування файлів,Для виконання SQL-запитів,Для статичної типізації та підказок типів,Для створення GUI,C
Що радять для продуктивності при роботі з великими структурами?,Глобальні mutable singleton,Максимально багато прихованих копій,Персистентні колекції або акуратний дизайн агрегування,Виключно рекурсію без обмежень,C
Який головний результат чистого ядра?,Більше прихованих ефектів,"Прозорість, передбачуваність і тестованість",Максимальна залежність від часу,Відмова від композиції,B
Який архітектурний підхід є центральним у лекції?,Усе в одному main(),Чисте ядро + адаптери IO,MVC без розділення ефектів,Моноліт без шарів,B
Що робить pipe у прикладі лекції?,Створює subprocess,Видаляє типізацію,Передає значення через функції зліва направо,Відкриває socket,C
Що треба зробити після створення чистих трансформацій у практиці?,Додати глобальний random,Видалити типізацію,Перенести summarize в IO,Створити адаптери read_csv і to_json,D
Які модулі Python рекомендовано для подальшого читання?,math лише,os лише,"itertools, functools, typing, dataclasses, asyncio","tkinter, turtle, winsound, idlelib, smtpd",C
Що рекомендує закон Деметри?,Передавати всю програму як один dict,Уникати параметрів функцій,Будувати якомога довші ланцюжки a.b.c.d,Обмежувати знання об'єктів про внутрішню структуру інших об'єктів,D
Який механізм Python згадано як корисний для кешування чистих обчислень?,input,print,sleep,lru_cache,D
Що повертає now_utc_iso()?,Список транзакцій,Поточний UTC-час у ISO-форматі,Випадкове число,Кількість рядків CSV,B
