Question,A,B,C,D,Prav_vid
Python має яку типізацію?,Статичну,Динамічну,Сильну,Жорстку,B
Тип для цілих чисел:,float,int,str,bool,B
Тип для чисел з плаваючою комою:,int,float,complex,str,B
str використовується для:,Чисел,Тексту,Матриць,Булевих,B
list є:,Незмінний,Змінний,Тільки числовий,Скаляр,B
tuple є:,Змінний,Незмінний,Словник,Множина,B
set зберігає:,Дублікати,Унікальні значення,Ключ-значення,Індекси,B
dict зберігає:,Список,Ключ:значення,Тільки числа,Індекси,B
Метод додавання до списку:,add(),append(),insert(),push(),B
Метод для перетворення рядка у список слів:,split(),join(),upper(),strip(),A
len() повертає:,Максимум,Довжину,Мінімум,Тип,B
max() повертає:,Максимум,Мінімум,Середнє,Тип,A
min() повертає:,Максимум,Мінімум,Середнє,Довжину,B
sum()/len() обчислює:,Median,Mean,Std,Var,B
"Функція з параметром name=""Студент"" має:",Аргумент за замовчуванням,Глобальну змінну,Помилку,Цикл,A
def означає:,Створення функції,Імпорт,Цикл,Умова,A
return використовується для:,Виводу,Повернення значення,Імпорту,Циклу,B
average(values) — це:,Вбудована функція,Користувацька функція,Метод списку,Модуль,B
"Функція greet(""Anna""):",Використає default,Передасть аргумент,Помилка,None,B
print() — це:,Метод файлу,Вбудована функція,Модуль,Пакет,B
Імпорт numpy як np:,import numpy as np,include numpy,using numpy,np import,A
from numpy import pi означає:,Імпорт всієї бібліотеки,Імпорт константи pi,Імпорт pandas,Помилка,B
pandas використовується для:,Векторизації,Табличних даних,Компиляції,Графіки,B
matplotlib використовується для:,Графіки,CSV,Компиляції,Функцій,A
math.sqrt(16) дорівнює:,4,8,16,2,A
np.sqrt(16) дорівнює:,4,8,16,2,A
Пакет — це:,Файл,Набір модулів,Функція,Список,B
Модуль — це:,Окрема бібліотека,Функція,Список,Цикл,A
import дозволяє:,Створити цикл,Підключити модуль,Оголосити функцію,Створити список,B
numpy є основою для:,scikit-learn,Word,Excel,Photoshop,A
List comprehension створює:,Новий список,Файл,Словник,Матрицю,A
[x**2 for x in numbers] — це:,Цикл,List comprehension,Dict,Set,B
Фільтрація у list comprehension використовує:,if,for,while,return,A
Dict comprehension створює:,Список,Новий словник,Множину,Файл,B
.items() повертає:,Ключі,Значення,Пари ключ-значення,Індекси,C
"for name,s in scores.items(): означає:",Перебір пар,Цикл while,Індексування,Помилка,A
if s>=80 у comprehension — це:,Фільтр,Цикл,Функція,Метод,A
{name:s ...} створює:,Список,Словник,Множину,Файл,B
Comprehension дозволяє:,Компактний код,Довший код,Помилку,Імпорт,A
even_numbers = [x for x in numbers if x%2==0] — це:,Фільтрація,Сума,Mean,Max,A
"""w"" режим означає:",Читання,Перезапис,Додавання,Бінарний,B
"""a"" режим означає:",Додавання,Читання,Перезапис,Закриття,A
.read() використовується для:,Запису,Читання,Закриття,Імпорту,B
.write() використовується для:,Запису,Читання,Імпорту,Видалення,A
"newline="""" потрібно для:",Windows CSV,Linux,Mac,None,A
"encoding=""utf-8"" потрібен для:",Українських символів,Швидкості,Модулів,Функцій,A
csv.writer використовується для:,Запису CSV,Читання TXT,Імпорту,Mean,A
csv.DictReader використовується для:,Читання CSV як словники,Запису,Графіків,Mean,A
pd.read_csv повертає:,DataFrame,List,Dict,Tuple,A
.head() у pandas показує:,Перші рядки,Останні,Mean,Var,A
