Question,A,B,C,D,Prav_vid
На що схожий лінивий Python-пайплайн map → filter → reduce?,На рекурсивне дерево,На SQL-таблицю без запиту,На статичний масив,На UNIX-конвеєр,D
Що створює [x**2 for x in range(5)]?,Генератор,Список,Ітератор count,Функцію,B
Що робить itertools.cycle(iterable)?,Нескінченно повторює елементи iterable по колу,Розвертає iterable один раз,Видаляє дублікати,Повертає тільки перший елемент,A
Що робить itertools.product?,Сортування,Фільтрацію,Суму елементів,Декартів добуток вхідних ітерабельних об’єктів,D
Що робить filter у Python 3?,Об’єднує файли,Множить елементи,Створює копію всього списку обов’язково,"Ліниво пропускає лише елементи, що задовольняють умову",D
Що обчислює sum(x**2 for x in range(1_000_000))?,Лише останній квадрат,Суму квадратів без створення повного списку квадратів,Кількість елементів,Список квадратів,B
Для чого pairwise може застосовуватися до fib()?,Для видалення повторів,Для перетворення чисел у рядки,Для сортування чисел,Для отримання сусідніх пар чисел,D
Що відбувається після yield під час наступного next()?,Генератор автоматично перетворюється на список,Виконання продовжується з місця призупинення,Функція починається з першого рядка,Програма завершується,B
Скільки основних числових станів зберігає нескінченний fib() у прикладі?,Жодного стану,Усі числа Fibonacci,Поточну пару a і b,Рівно 1000 чисел,C
Які засоби Python реалізують лінивий підхід?,Тільки класи,Тільки lambda,Тільки рекурсія,"Генератори, генераторні вирази та itertools",D
Які початкові значення a і b у fib() з лекції?,1 і 2,0 і 1,0 і 0,1 і 1,B
"Що повертає take(5, drop(20, fib())) у прикладі?","[20, 21, 22, 23, 24]","[6765, 10946, 17711, 28657, 46368]","[0, 1, 1, 2, 3]","[610, 987, 1597, 2584, 4181]",B
Що робить h.update(mv) при потоковому хешуванні?,Додає черговий блок даних до обчислення хешу,Очищає хеш,Записує файл на диск,Повертає список байтів,A
Що робить pairwise(iterable)?,Формує лише непарні числа,Подвоює кожен елемент,Формує послідовні перекривні пари сусідніх елементів,Формує всі можливі перестановки,C
Що піднімає next(gen) після повного вичерпання генератора?,MemoryError,KeyError,RecursionError,StopIteration,D
Який підхід рекомендується для читання гігабайтних CSV?,Копіювання CSV десять разів,Завантаження всього файлу в один список,Перетворення всього файлу в один рядок,Построкове або chunked читання,D
Які парні числа Fibonacci до 100000 наведено в лекції?,"34, 35, 36, 37","0, 1, 2, 4, 8","0, 2, 8, 34, 144, 610, 2584, 10946, 46368","2, 4, 6, 8, 10",C
Що робить ключове слово yield?,Завершує програму,Створює список,Очищає пам’ять,Віддає значення та призупиняє функцію зі збереженням стану,D
"Який результат take(10, fib())?","[1, 1, 2, 3, 5, 8, 13, 21, 34, 55]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0, 1, 1, 2, 3, 5, 8, 13, 21, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",C
Який принцип описує фраза «зчитай рядок → оброби → віддай → забудь»?,Рекурсивне кешування,Жадібне завантаження,Ліниву потокову обробку,Сортування злиттям,C
Що відбувається з пам’яттю при правильній потоковій обробці великого файлу?,Пам’ять завжди росте пропорційно файлу,Не потрібно одночасно тримати весь файл у RAM,Увесь файл дублюється в RAM,Python вимикає garbage collector,B
Яка головна перевага лінивих обчислень?,Відсутність необхідності в ітераторах,Зменшення споживання пам’яті,Автоматична паралелізація,Автоматичне прискорення процесора,B
Який синтаксис має генераторний вираз?,[вираз for змінна in iterable],def expression():,(вираз for змінна in iterable),{key: value},C
Що означає zero-copy у контексті memoryview?,Нульовий розмір файлу,Видалення оригінальних даних,Відсутність читання,Уникнення непотрібного копіювання даних,D
Що таке RAM-пік у контексті лекції?,Кількість генераторів,Швидкість SSD,Різке велике споживання оперативної пам’яті,Максимальна частота CPU,C
Який інструмент можна використати для обмеження нескінченного генератора?,sorted,enumerate лише,reversed,islice,D
Чому не можна виконувати list(fib()) для нескінченного fib()?,Виникне SyntaxError,list не приймає генератори,fib повертає рядок,Обчислення не завершиться і споживатиме ресурси,D
Чому count часто комбінують з islice?,Щоб відсортувати count,Щоб обмежити споживання нескінченного потоку,Щоб зробити count скінченним назавжди,Щоб перетворити числа у dict,B
