Question,A,B,C,D,Prav_vid
Що повертає np.arange(5)?,Список,Масив NumPy,Кортеж,Словник,B
Як звернутись до першого елемента масиву a?,a[1],a[0],a[-1],a.first(),B
Що означає a[-1]?,Перший елемент,Останній елемент,Помилка,Середній елемент,B
Що повертає зріз a[2:5]?,Елемент 2,Елементи 2-4,Елементи 2-5,Помилка,B
Що означає a[::-1]?,Сортування,Реверс масиву,Копіювання,Фільтр,B
Що означає a[::2]?,Кожен другий елемент,Кожен третій,Перший елемент,Помилка,A
Як отримати перший стовпець 2D масиву?,a[0,:],a[:,0],a[0],a[:,1],B
Що повертає a.shape?,Тип,Розмірність,Форму масиву,Суму,C
Що робить reshape?,Сортує,Змінює форму,Копіює,Видаляє,B
Чи змінює reshape вихідний масив?,Так,Ні,Іноді,Помилка,B
Що робить resize?,Повертає копію,Змінює форму масиву,Сортує,Видаляє,B
Що таке a.T?,Сума,Транспонований масив,Тип,Копія,B
Що означає a[:,1]?,Рядок,Стовпець,Елемент,Помилка,B
Що таке багатовимірний масив?,1D масив,2D масив,Масив >2 вимірів,Список,C
Скільки індексів для 3D масиву?,1,2,3,4,C
Що означає a[1,2]?,Рядок,Стовпець,Елемент,Зріз,C
Що означає ":" у зрізах?,Все,Нічого,Помилка,1 елемент,A
Що робить a.flat?,Копія,Ітератор,Список,Словник,B
Що повертає np.array(a.flat)?,1D масив,2D масив,Список,Помилка,A
Як ітерувати всі елементи?,for i in a,for i in a.flat,while,if,B
Що таке індексація масивами?,Індекси числами,Індекси масивами,Сортування,Фільтр,B
Що повертає a[[1,3]]?,1 елемент,2 елементи,Помилка,Список,B
Чи можна повторювати індекси?,Ні,Так,Іноді,Помилка,B
Що таке булева індексація?,Індексація True/False,Сортування,Копія,Фільтр,A
Що повертає a[a>5]?,Елементи >5,Список,Помилка,Індекс,A
Що означає a%2==0?,Парні числа,Непарні,Помилка,Сортування,A
Як замінити елементи?,a[a>5]=0,a=0,a.clear(),a.del(),A
Що означає &,логічне AND,OR,NOT,XOR,A
Що означає |,AND,OR,NOT,XOR,B
Чому a[10<a<20] помилка?,Синтаксис,Логіка,Ambiguous,Тип,C
Як правильно?,a[(10<a)&(a<20)],a[10<a<20],a[10&a],a[10|a],A
Що таке view?,Копія,Посилання,Тип,Функція,B
Що таке copy?,Посилання,Копія,Тип,Список,B
Чи змінюється view при зміні a?,Ні,Так,Іноді,Помилка,B
Чи змінюється copy?,Так,Ні,Іноді,Помилка,B
Що означає b=a?,Копія,Посилання,Помилка,Список,B
Що таке broadcasting?,Копіювання,Авто розширення,Сортування,Фільтр,B
Що означає a+b?,Конкатенація,Додавання,Помилка,Тип,B
Коли працює broadcasting?,Різні форми,Сумісні форми,Однакові значення,Помилка,B
Що означає shape сумісність?,Рівність або 1,Будь-які,Однакові значення,Помилка,A
Що таке np.vstack?,Горизонтальне об'єднання,Вертикальне,Сортування,Фільтр,B
Що таке np.hstack?,Вертикальне,Горизонтальне,Сортування,Фільтр,B
Що робить column_stack?,Колонки,Рядки,Сортування,Фільтр,A
Що робить row_stack?,Рядки,Колонки,Сортування,Фільтр,A
Що таке concatenate?,Об'єднання,Сортування,Фільтр,Тип,A
Що робить newaxis?,Додає вісь,Видаляє,Сортує,Копіює,A
Що таке np.r_?,Об'єднання,Сортування,Тип,Фільтр,A
Що таке np.c_?,Колонки,Рядки,Список,Тип,A
Що робить hsplit?,Вертикальний поділ,Горизонтальний,Копія,Фільтр,B
Що робить vsplit?,Горизонтальний,Вертикальний,Фільтр,Тип,B
Що таке dtype?,Тип даних,Форма,Розмір,Індекс,A
Що таке int32?,32 біти,64 біти,16 біти,8 біти,A
Що таке float64?,Подвійна точність,Одинарна,Ціле,Комплекс,A
Що таке bool?,True/False,Число,Список,Тип,A
Що таке complex128?,Комплекс,Ціле,Float,Список,A
Що повертає np.finfo?,Інфо float,Тип int,Список,Фільтр,A
Що означає np.int64(5)?,float,int,bool,str,B
Що означає np.float64(5)?,float,int,bool,str,A
Що означає np.bool(1)?,True,False,0,Помилка,A
Що означає np.bool(0)?,True,False,1,Помилка,B
Що таке reshape(-1)?,Авто розмір,Помилка,Тип,Фільтр,A
Що означає ndim?,Розмір,Осі,Тип,Елементи,B
Що означає a.size?,Кількість елементів,Тип,Осі,Розмір,A
Що означає flatten?,Копія,View,Тип,Фільтр,A
Що означає ravel?,View,Copy,Тип,Фільтр,A
Що таке axis?,Вимір,Тип,Елемент,Індекс,A
Що означає axis=0?,Рядки,Стовпці,Елементи,Тип,A
Що означає axis=1?,Стовпці,Рядки,Тип,Елементи,A
Що означає np.ones?,Масив 1,Масив 0,Тип,Список,A
Що означає np.zeros?,Масив 0,Масив 1,Тип,Список,A
Що означає np.empty?,Без ініціалізації,Нулі,Одиниці,Тип,A
Що означає np.linspace?,Лінійний масив,Рандом,Тип,Список,A
Що означає np.random?,Рандом,Сортування,Тип,Фільтр,A
Що означає sum?,Сума,Список,Тип,Фільтр,A
Що означає mean?,Середнє,Сума,Тип,Фільтр,A
Що означає std?,Стандартне відхилення,Сума,Тип,Фільтр,A
Що означає var?,Дисперсія,Сума,Тип,Фільтр,A
Що означає min?,Мінімум,Максимум,Тип,Фільтр,A
Що означає max?,Максимум,Мінімум,Тип,Фільтр,A
Що означає sort?,Сортування,Фільтр,Тип,Список,A
Що означає argsort?,Індекси сортування,Тип,Фільтр,Список,A
Що означає unique?,Унікальні,Повтори,Тип,Фільтр,A
Що означає where?,Умова,Сортування,Тип,Фільтр,A
Що означає clip?,Обмеження,Фільтр,Тип,Список,A
Що означає dot?,Скалярний добуток,Сума,Тип,Фільтр,A
Що означає matmul?,Множення матриць,Сума,Тип,Фільтр,A
Що означає transpose?,Транспонування,Фільтр,Тип,Список,A
Що означає squeeze?,Видалення осі,Додавання,Тип,Фільтр,A
Що означає expand_dims?,Додати вісь,Видалити,Тип,Фільтр,A
Що означає stack?,Об'єднання,Фільтр,Тип,Список,A
Що означає split?,Поділ,Фільтр,Тип,Список,A
Що означає tile?,Повторення,Фільтр,Тип,Список,A
