Question,A,B,C,D,Prav_vid
Що гарантує оператор with при роботі з файлом?,Завантаження всього файла в RAM,Закриття файла навіть у разі виникнення exception,Автоматичне видалення файла,Перетворення тексту на bytes,B
Що означає режим open 'r'?,Запис із перезаписом,Дописування в кінець,Створення лише нового файла,Читання; файл має існувати,D
Що означає режим open 'w'?,Тільки читання,Дописування без стирання,Створення файла лише якщо він відсутній,Запис із перезаписом старого вмісту,D
Що означає режим open 'a'?,Дописування в кінець файла,Binary-читання,Перезапис усього файла,Читання з початку,A
Що означає режим open 'x'?,"Створення нового файла з помилкою, якщо він уже існує",Видалення файла,Читання існуючого файла,Дописування,A
Що означає літера b у режимі відкриття файла?,Кодування UTF-8,Режим backup,"Binary-режим, у якому працюють з bytes",Буферизацію JSON,C
Що додає знак + до режиму open?,Автоматичне закриття,"Можливість і читання, і запису",Шифрування файла,Автоматичний append,B
Навіщо явно задавати encoding у текстовому режимі?,Щоб уникнути with,Щоб прискорити будь-який алгоритм,Щоб файл став binary,Для переносимості та передбачуваного декодування тексту,D
Який encoding названо типовим вибором для сучасних проєктів?,UTF-16 обов'язково,UTF-8,ASCII,Latin-1,B
Що таке pathlib.Path?,JSON-серіалізатор,CSV-парсер,Об'єктно-орієнтований API для роботи зі шляхами файлової системи,Тип binary-файла,C
Яким оператором у pathlib зручно об'єднувати компоненти шляху?,Оператором /,Оператором %,Оператором **,Оператором &,A
Що повертає Path.name?,Абсолютний шлях,Ім'я останнього компонента шляху,Розширення без імені,Батьківський каталог,B
Що повертає Path.suffix?,Поточний каталог,Розмір файла,Суфікс або розширення файла,Ім'я без розширення,C
Що повертає Path.stem?,Тип файла,Абсолютний шлях,Тільки розширення,Ім'я файла без суфікса,D
Що повертає Path.parent?,Ім'я файла,Вміст файла,Розширення,Батьківський шлях,D
Від чого інтерпретується відносний шлях?,Завжди від кореня диска,Від каталогу Python,Завжди від каталогу скрипту,Від поточного робочого каталогу,D
Що робить Path.resolve()?,Читає JSON,Видаляє файл,Створює каталог,Формує абсолютне представлення шляху,D
"Чому не можна припускати, що cwd завжди дорівнює каталогу скрипту?",Тому що cwd завжди порожній,Поточний робочий каталог може бути іншим залежно від способу запуску,Тому що __file__ не існує,Тому що Path не підтримує cwd,B
Як у лекції будують BASE_DIR відносно Python-модуля?,Path.cwd().suffix,open(__file__).parent,Path(__name__).stem,Path(__file__).resolve().parent,D
Для чого Path.exists()?,Перевірити лише каталог,Прочитати файл,"Перевірити, чи існує шлях",Створити файл,C
Для чого Path.is_file()?,Створити файл,"Перевірити, чи шлях є звичайним файлом",Перевірити кодування,Перевірити JSON,B
Для чого Path.is_dir()?,"Перевірити, чи шлях є каталогом",Знайти CSV,Перевірити розмір,Видалити каталог,A
Чому попередня перевірка exists() не завжди замінює exception handling?,exists() завжди породжує exception,Стан файлової системи може змінитися між перевіркою та операцією,Path не підтримує помилки,Перевірка працює лише з JSON,B
"Що робить mkdir(parents=True, exist_ok=True)?","Створює вкладені каталоги і не падає, якщо вони вже існують",Створює лише один файл,Видаляє вкладені каталоги,Перейменовує каталог,A
Чим iterdir() відрізняється від rglob()?,Вони завжди ідентичні,rglob() не підтримує шаблони,"iterdir() перебирає безпосередній вміст, а rglob() може шукати рекурсивно",iterdir() працює лише з JSON,C
Для чого Path.glob('*.csv')?,Для серіалізації,Для пошуку шляхів за шаблоном у каталозі,Для читання CSV-рядків,Для запису CSV,B
Для чого Path.rglob('*.json')?,Для створення JSONEncoder,Для рекурсивного пошуку JSON-файлів за шаблоном,Для перевірки encoding,Для перезапису JSON,B
Що робить Path.rename()?,Перейменовує або переміщує шлях відповідно до цільового імені,Серіалізує об'єкт,Створює резервну копію автоматично,Читає файл,A
Чому Path.unlink() слід застосовувати контрольовано?,unlink завжди створює backup,unlink тільки читає файл,unlink працює лише з каталогами,Видалення зазвичай не має автоматичного undo,D
Коли зручні Path.read_text() і write_text()?,Лише для CSV,Для багатогігабайтних файлів завжди,Для невеликих текстових файлів,Тільки для binary-файлів,C
Чому read_text() небажаний для багатогігабайтного файла?,Він завжди видаляє файл,Він читає весь вміст у пам'ять,Він не підтримує UTF-8,Він читає тільки один рядок,B
Що робить file.read() у текстовому режимі?,Записує текст,Повертає завжди bytes,Повертає весь текст файла,Повертає тільки перший рядок,C
Як memory usage read() залежить від розміру великого файла?,Зростає приблизно пропорційно розміру файла,Не залежить від файла,Завжди зменшується,Завжди дорівнює нулю,A
Яка перевага циклу for line in file?,Построкова лінива обробка без завантаження всього файла в RAM,Перетворення файла на list,Автоматичний JSON parsing,Автоматична валідація,A
Чим readlines() відрізняється від построкової ітерації?,readlines() працює лише з bytes,"readlines() створює список усіх рядків, а ітерація обробляє їх ліниво",Ітерація завжди читає весь файл,Різниці немає,B
Що повертає file.write()?,Новий файловий об'єкт,Список рядків,Boolean про існування файла,Кількість записаних символів,D
Що потрібно додавати явно при записі окремих текстових рядків через write()?,"Символ нового рядка, якщо він потрібен",Encoding у кожний рядок,Binary-префікс,JSONEncoder,A
Для чого Path.read_bytes() і write_bytes()?,Для configparser,Для роботи з невеликими binary-ресурсами як bytes,Для CSV DictReader,Для YAML,B
Що таке CSV?,Формат тільки для конфігурацій,Binary-формат Python-об'єктів,Текстовий формат для рядків і колонок,Мова програмування,C
"Чому CSV не слід надійно парсити через line.split(',')?",Через quoting та escaped delimiters,split не працює з рядками,CSV не має роздільників,CSV завжди binary,A
Чи завжди роздільником CSV є кома?,Лише tab,CSV взагалі не має роздільника,"Ні, можуть використовуватися крапка з комою, tab та інші діалекти","Так, стандарт забороняє інші",C
Для чого csv.reader?,Для запису JSON,Для читання pickle,Для створення Path,Для коректного читання CSV-рядків з урахуванням формату,D
Для чого csv.DictReader?,Щоб автоматично серіалізувати dataclass,Щоб повертати лише list[int],Щоб використовувати заголовок як імена полів і отримувати dict-подібні записи,Щоб читати YAML,C
Яка перевага DictReader для прикладного коду?,Він автоматично визначає всі Python-типи,Можна звертатися до полів за зрозумілими іменами,Він не потребує заголовка за жодних умов,Він шифрує CSV,B
Для чого csv.writer?,Для binary-копіювання,Для читання JSON,Для коректного запису CSV з quoting та escaping,Для створення генератора,C
Для чого csv.DictWriter?,Для Path.resolve,Для pickle,Для запису структурованих dict-записів у CSV,Для читання YAML,C
Що робить DictWriter.writeheader()?,Встановлює encoding,Записує рядок заголовків полів,Читає перший рядок,Видаляє заголовок,B
Чи зберігає CSV Python-типи значень?,Лише datetime,"Ні, після читання значення зазвичай є рядками",Тільки dataclass,"Так, усі типи відновлюються автоматично",B
Що треба робити з числовими значеннями після читання CSV?,Явно перетворювати та валідовувати,Завжди залишати str,Передавати в safe_load,Серіалізувати pickle,A
