Question,A,B,C,D,Prav_vid
Яка часова складність ітеративного Fibonacci?,O(2^n),O(n²),O(log n) завжди,O(n),D
Як через foldr у лекції задається сума списку?,Комбінування x * acc з початковим 0,Комбінування x + acc з початковим 0,Конкатенація тільки рядків,Вибір max без бази,B
Як у Python отримати реальну O(1) пам’ять для tail-style факторіала?,Переписати його на цикл,Використати xs[1:],Додати print,Додати ще один рекурсивний виклик,A
Що показує fib_tail(10) у лекції?,34,89,10,55,D
Що в ітераційній версії замінює стек рекурсивних викликів?,TypedDict,Глобальний exception,Декоратор lru_cache,Явний стан у змінних або структурах,D
Для чого використовується visited при обході графів?,Щоб сортувати ребра,Щоб не відвідувати циклічні вершини повторно,Щоб замінити стек,Щоб кешувати факторіал,B
Чому наївний inorder з конкатенаціями списків може бути дорогим?,Через відсутність базового випадку,Через TCO,Через lru_cache,Через повторні копії списків,D
Що таке структурна рекурсія?,Рекурсія лише для чисел,"Рекурсія, що йде за формою структури даних","Рекурсія, яка завжди використовує два виклики",Рекурсія з випадковими підзадачами,B
Який алгоритм наведено як приклад генеративної рекурсії?,length,Факторіал,Quicksort,Сума списку,C
Що є базовим випадком у factorial fact(n)?,n > 10,n < 0,n == 100,n == 0,D
Що повертає length([]) у рекурсивному прикладі?,1,0,-1,None,B
Що повертає size(None)?,None,0,1,-1,B
Як працює власний декоратор memoize у лекції?,Зберігає args → result у словнику cache,Змінює аргументи функції,Створює окремий потік,Використовує лише list,A
"Як оновлюються аргументи в gcd(a,b)?","gcd(a+b, b)","gcd(a, b+1)","gcd(b, a % b)","gcd(a-1, b-1)",C
Що є базою структурної індукції для списку?,Найбільший елемент,Відсортований список,Список із двох елементів,Порожній список,D
Яка ключова ідея мемоізації?,Кожен раз очищати кеш,Завжди використовувати глобальні змінні,Збільшувати кількість рекурсивних викликів,"Не обчислювати двічі те, що вже обчислено",D
Яка глибина стеку для збалансованого дерева?,O(2^n),O(1),O(log n),O(n²),C
Чому sum_good у лекції вважається чистою функцією?,Вона використовує global total,Вона завжди друкує результат,Вона працює тільки з tuple,Результат залежить лише від аргументів і немає глобальної мутації,D
Чому xs[1:] може погіршувати продуктивність рекурсії по списку?,Видаляє перший елемент назавжди,Змінює список на місці,Створює копію хвоста списку,Перетворює список у tuple,C
Що означає референтно-прозора оптимізація в контексті мемоізації?,Кеш є глобальним mutable станом для користувача,Функція завжди повертає посилання,Виклик можна замінити його збереженим результатом без зміни поведінки,Можна пропустити базовий випадок,C
Які три підходи пропонується порівняти для to_list_inorder у домашньому завданні?,"Map, filter, reduce","Наївна конкатенація, акумулятор, генератор","BFS, SQL, JSON","TCO, GPU, multiprocessing",B
Який елемент обов’язково має бути в коректній рекурсивній функції?,Декоратор,Базовий випадок,Клас,Глобальна змінна,B
Що таке foldr у контексті лекції?,Метод сортування,Варіант BFS,Канонічна форма структурної рекурсії над списком,Тип кешу,C
Чому lru_cache потребує хешованих аргументів?,Бо функція має бути рекурсивною,Щоб увімкнути TCO,Бо Python не підтримує list,Аргументи використовуються як ключі кешу,D
Яка середня складність quicksort наведена в лекції?,O(1),O(2^n),O(n log n),O(n),C
"Що таке pred у filter_(pred, xs)?",Акумулятор,Декоратор,Словник кешу,"Функція, що повертає True або False",D
"Що робить map_(fn, xs) у структурно-рекурсивній версії?",Рахує довжину списку,Фільтрує елементи за pred,Сортує список,Застосовує fn до кожного елемента,D
Який ефект TCO може дати хвостовій рекурсії?,Автоматичну мемоізацію,O(1) використання стеку,O(2^n) пам’яті,Сортування результатів,B
Яка часова складність структурної рекурсії по списку без зайвих копій?,Θ(n³),Θ(n),Θ(log n),Θ(1),B
Який базовий випадок для рекурсії по бінарному дереву?,t is None,t.left is not None,t.value == 0,height == 1,A
Яка глибина стеку для рекурсії по списку довжини n?,O(log n),O(n),O(1),O(2^n),B
Яка найгірша складність quicksort при невдалому pivot?,O(n²),O(log n),O(n log n) завжди,O(1),A
Яка пам’ять sum_iter для суми списку?,O(1),O(n²),O(2^n),O(n),A
Що означає TCO?,Total Cycle Ordering,Typed Code Output,Tail Call Optimization,Tree Cache Operation,C
Що робить fib.cache_clear()?,Змінює maxsize,Видаляє функцію,Показує hits і misses,Очищає кеш,D
З якої версії Python доступний match/case?,Python 4.0,Python 2.7,Python 3.10,Python 3.4,C
Як обчислюється height непорожнього вузла?,"1 + max(height(left), height(right))",value + 1,"min(height(left), height(right))",1 + height(left) + height(right),A
Що є прикладом побічного ефекту в sum_bad?,Повернення числа,Рекурсивний виклик,Перевірка if,Зміна глобальної змінної total,D
Чим звичайний factorial відрізняється від хвостового?,Хвостовий використовує global,У звичайному після рекурсивного виклику ще виконується множення,Звичайний не має бази,Хвостовий завжди використовує два рекурсивні виклики,B
Що відповідає поверненню з рекурсії при ручній симуляції стеку?,yield from,pop зі стеку,push у стек,append у кеш,B
Що рекомендується замість глибокої рекурсії в Python?,Збільшувати кількість глобальних змінних,Видаляти базовий випадок,Використовувати тільки eval,"Ітерація, явний стек/черга або генератори",D
Що таке катаморфізм у контексті лекції?,Кешування стеку,Створення випадкової структури,Узагальнене згортання структури,Мутація дерева,C
Яка альтернатива xs[1:] запропонована для уникнення копій?,Використання sleep,Індексований рекурсивний варіант,Використання global,Використання random,B
Що таке hit у cache_info()?,"Звернення, для якого результат уже був у кеші",Розмір стеку,Нова унікальна підзадача,Помилка функції,A
Яка проблема можлива при maxsize=None?,Кеш завжди порожній,Виникає TCO,Кеш може нескінченно зростати,Функція перестає бути callable,C
У чому різниця між мемоізацією і загальним кешуванням?,"Мемоізація кешує виклики функції, кешування може стосуватися будь-яких даних",Різниці немає,Кешування працює лише з числами,Мемоізація працює лише в мережі,A
