Question,A,B,C,D,Prav_vid
Що означає продуктивність Python-програми?,Тільки обсяг RAM,"Сукупність характеристик, зокрема latency, throughput, CPU, memory, I/O та scalability",Лише швидкість одного циклу,Тільки кількість рядків коду,B
Яке головне правило оптимізації сформульовано в лекції?,Спочатку переписати все на NumPy,Завжди додавати cache,Завжди замінювати list на generator,"Спочатку вимірювати, а не оптимізувати наосліп",D
Що таке bottleneck?,Найкоротша функція програми,Будь-який generator,Тільки нестача RAM,"Компонент, який обмежує загальну продуктивність системи",D
"Чому оптимізація Python loop, що займає 2% часу, може майже не допомогти?","Якщо основний bottleneck знаходиться в іншому місці, наприклад у database query",Бо 2% автоматично означає memory leak,Бо database завжди швидша,Бо Python loops неможливо оптимізувати,A
Що таке latency?,Час виконання однієї операції,Кількість CPU cores,Обсяг пам'яті процесу,Кількість операцій за секунду,A
Що таке throughput?,Час CPU лише одного function call,Peak memory,Кількість операцій за одиницю часу,Час однієї операції,C
Чи завжди покращення latency покращує throughput?,Тільки при caching,Ні,Тільки в NumPy,"Так, завжди",B
Що включає elapsed або wall-clock time?,Лише network latency,Тільки garbage collection,Тільки час активного CPU,"Увесь фактичний час, включно з очікуванням I/O",D
Що відображає CPU time?,Лише час disk I/O,"Час, коли процес фактично використовував CPU",Увесь elapsed time,Кількість виконаних функцій,B
Для чого time.perf_counter()?,Для сортування profiler report,Для вимірювання shallow memory,Для високоточного монотонного вимірювання elapsed duration,Для кешування функцій,C
Чому одного вимірювання часу недостатньо?,"На результат впливають warm-up, scheduler, caches, background load та інші коливання",perf_counter працює лише двічі,Один запуск не виконує код,Python завжди повертає випадковий час,A
Для чого призначений модуль timeit?,Для NumPy broadcasting,Для microbenchmark невеликих фрагментів Python-коду,Для memory profiling,Для database indexing,B
"Що робить timeit.timeit(..., number=10000)?",Вимірює 10000 MB пам'яті,Автоматично профілює всі функції,Багаторазово виконує вимірюваний код,Створює 10000 processes,C
Що повертає timeit.repeat()?,Тільки середнє значення,Список allocations,Один profiler snapshot,Кілька незалежних вимірювань benchmark,D
Що часто аналізують у результатах microbenchmark repeat?,Лише кількість рядків,Тільки максимальний memory footprint,Тільки перший запуск,Найкращий результат або розподіл вимірювань,D
Для чого setup у timeit?,Щоб створити cache,Щоб визначити dtype,Щоб увімкнути cProfile,"Щоб відокремити підготовку даних від вимірюваної операції, якщо setup не є частиною workload",D
Яка перевага передачі callable у timeit?,Callable не виконується,Callable автоматично векторизується,Callable вимірює RAM,Це часто простіше і надійніше за рядок коду,D
Чому microbenchmark може бути оманливим?,timeit завжди неточний,"Synthetic test може не відображати реальні дані, I/O, allocations і framework overhead",Microbenchmark не запускає Python,Він вимірює тільки NumPy,B
Що таке profiling?,Тільки вимірювання розміру list,Заміна loops на comprehensions,Кешування результатів,"Аналіз того, де саме програма витрачає час",D
Для чого cProfile?,Для створення ndarray,Для серіалізації,Для deterministic profiling викликів функцій та їх тривалості,Для вимірювання network throughput напряму,C
Як профілювати script через командний рядок?,cProfile.start(program.py),python -m cProfile program.py,python -m timeit --memory program.py,python profile import program.py,B
Як відсортувати cProfile output за cumulative time з командного рядка?,python -m cProfile -s cumulative program.py,python -m timeit -s cumulative program.py,python -m cProfile -s memory program.py,python -m pstats -o cumulative program.py,A
Що означає ncalls у cProfile?,Кількість CPU cores,Кількість викликів функції,Peak memory,Кількість cache misses,B
