Question,A,B,C,D,Prav_vid
Що характерно для синхронного виконання програми?,Event loop автоматично створює Tasks,Наступна операція зазвичай починається після завершення попередньої,Усі операції завжди виконуються на різних ядрах,Кожна функція обов'язково є coroutine,B
Що таке I/O-bound задача?,"Задача, що завжди максимально завантажує CPU",Тільки математичний цикл без I/O,Будь-яка функція з return,"Задача, яка значну частину часу очікує мережу, файл, БД або інший зовнішній ресурс",D
Чому async особливо корисний для I/O-bound операцій?,Він автоматично додає CPU cores,Він усуває всі network errors,Він робить будь-який код паралельним,Під час очікування однієї операції event loop може виконувати інші готові задачі,D
Який типовий підхід наведено для CPU-bound задач?,"Процеси, native code або спеціалізовані бібліотеки",Тільки asyncio.Queue,Лише AsyncClient,Тільки asyncio.sleep,A
Що означає concurrency?,Просування кількох задач у перекривних часових інтервалах,Завжди використання multiprocessing,Тільки послідовне виконання,Обов'язкове одночасне виконання на різних CPU cores,A
Що означає parallelism?,Створення coroutine object,Послідовний await,Фактичне одночасне виконання на різних обчислювальних ресурсах,Лише чергування coroutines в одному event loop,C
Чи гарантує asyncio parallelism на кількох ядрах?,Лише для asyncio.sleep,"Ні, asyncio насамперед є моделлю конкурентності","Так, якщо використано await","Так, для кожної Task",B
Що відбувається з async function у точці await?,Вона блокує event loop назавжди,Вона автоматично переходить у новий process,Вона завершує Python process,"Вона може добровільно призупинитися, дозволивши loop виконати інші готові tasks",D
Що означає cooperative multitasking в asyncio?,Усі coroutines працюють у різних процесах,Перемикання між coroutines відбувається у визначених точках await,Операційна система примусово перемикає coroutine після кожного рядка,Tasks не можуть призупинятися,B
"Що станеться, якщо coroutine довго виконує CPU-код без await?",Вона стане async generator,Event loop автоматично перенесе її в process,Вона блокуватиме event loop і затримуватиме інші tasks,"Нічого, asyncio завжди перериває CPU-код",C
Що створює async def?,Coroutine function,Task object,ProcessPoolExecutor,Thread,A
Що повертає виклик async function?,Event loop,Coroutine object,Готовий результат функції завжди,Thread object,B
Чи виконується тіло async function до кінця одразу при її звичайному виклику?,Тільки якщо є return,Лише в FastAPI,"Ні, створюється coroutine object","Так, завжди",C
Що таке coroutine object?,HTTP response,Threading lock,Звичайний list,"Awaitable object, який потрібно await-ити або передати event loop",D
Що робить await?,Блокує всі threads,Закриває event loop,Створює новий process,Очікує awaitable і дозволяє coroutine призупинитися,D
Чим asyncio.sleep відрізняється від time.sleep в async-коді?,asyncio.sleep блокує весь process,Між ними немає різниці,time.sleep є awaitable,asyncio.sleep не блокує event loop,D
Що робить time.sleep усередині coroutine?,Автоматично викликає to_thread,Створює Task,Дозволяє іншим tasks виконуватися,Блокує поточний thread і event loop,D
Що таке event loop?,Database connection pool,Центральний scheduler-механізм asyncio,HTTP server framework,Python compiler,B
Що відстежує event loop?,Тільки CPU temperature,Тільки HTTP status codes,Лише файли Python,"Готові tasks, timers та I/O events",D
Для чого asyncio.run()?,Для створення thread pool лише,Для запуску SQLAlchemy,Для запуску top-level coroutine та керування життєвим циклом event loop,Для створення Semaphore,C
Що робить asyncio.run() після завершення main coroutine?,Перезапускає main,Завершує async generators і закриває loop,Залишає loop відкритим назавжди,Створює background process,B
Чому два послідовні await не обов'язково дають concurrency?,"Якщо A повністю очікується до запуску B, операції залишаються послідовними",Тому що await працює тільки з files,await завжди виконує tasks паралельно,Тому що asyncio не підтримує кілька operations,A
Що таке asyncio Task?,Окремий OS process,"Обгортка coroutine, запланована для виконання в event loop",Звичайний dict,Database transaction,B
Для чого asyncio.create_task()?,Щоб запланувати coroutine та дозволити конкурентне виконання,Щоб виконати blocking sleep,Щоб створити новий CPU core,Щоб створити Queue item,A
Чому важливо зберігати посилання на Tasks?,Щоб вимкнути event loop,Щоб перетворити Task на thread,"Щоб контролювати lifecycle, exceptions, очікування та cancellation",Бо без посилання Task ніколи не стартує за жодних умов,C
Чому неконтрольовані fire-and-forget tasks небажані?,Вони не можуть породжувати exceptions,"Ускладнюють обробку exceptions, cancellation і завершення",Вони завжди працюють швидше,Вони автоматично стають processes,B
Що робить asyncio.gather()?,Запускає multiprocessing,Конкурентно очікує кілька awaitables і повертає результати в порядку аргументів,Створює Semaphore,Повертає результати тільки в порядку завершення,B
У якому порядку gather повертає результати?,У порядку переданих awaitables,Тільки в порядку фактичного завершення,За алфавітом,У випадковому порядку,A
Для чого return_exceptions=True у gather?,Щоб перетворити errors на warnings,Щоб усі помилки ігнорувалися назавжди,Щоб автоматично retry-ити operations,Щоб exceptions стали елементами результату для окремої обробки caller-ом,D
Що таке structured concurrency?,Паралельність тільки через threads,Запуск необмежених background tasks,"Модель, де дочірні tasks мають чіткий scope і lifecycle, пов'язаний із батьківською операцією",Виконання лише однієї coroutine,C
Для чого asyncio.TaskGroup?,Для створення HTTP headers,Для структурованого створення й очікування групи tasks,Для блокування event loop,Для запуску CPU-bound code на GPU,B
"Що робить TaskGroup, якщо одна task завершується з необробленою помилкою?",Завжди завершує інші tasks успішно,Автоматично повторює task безмежно,Скасовує інші tasks групи та агрегує помилки,Ігнорує помилку,C
Що таке ExceptionGroup?,Механізм Python для представлення кількох exceptions разом,Async lock,Thread pool,Тип HTTP timeout,A
Який синтаксис пов'язаний з обробкою ExceptionGroup?,except*,await except,except async,catch*,A
Для чого asyncio.timeout?,Для прискорення CPU-коду,Для встановлення часової межі async block,Для створення TaskGroup,Для блокування cancellation,B
Який exception очікується при перевищенні asyncio.timeout у прикладі лекції?,KeyError,ImportError,StopIteration,TimeoutError,D
Для чого asyncio.wait_for()?,Для обмеження часу очікування одного awaitable,Для створення Queue,Для блокування event loop,Для запуску кількох processes,A
Що робить Task.cancel()?,Перетворює task на thread,Запитує скасування task,Негайно завершує весь process,Закриває всі event loops,B
Як cancellation зазвичай проявляється всередині coroutine?,Як StopAsyncIteration завжди,Як SyntaxError,Як asyncio.CancelledError у наступній точці призупинення,Як HTTPStatusError,C
Чи є cancellation нормальною частиною control flow async systems?,Так,Лише в unit tests,Тільки для HTTP requests,"Ні, це завжди програмна помилка",A
Як слід звільняти ресурси при cancellation?,Тільки через time.sleep,Завжди через global variables,Через try/finally або async context managers,Ігнорувати cleanup,C
