Question,A,B,C,D,Prav_vid
Що повинен повернути double(Nothing())?,Nothing(),Err(None),TypeError завжди,Some(0),A
"Що означає Union[int, float]?",Список int та float,Перетворення int у float,Значення одночасно int і float,Значення може бути int або float,D
Що означає анотація -> List[str] у сигнатурі функції?,Функція змінює список рядків,Функція повертає список рядків,Функція приймає тільки рядки,Функція повертає один рядок,B
Яка головна користь type hints для IDE?,Автодоповнення та виявлення невідповідностей типів,Прискорення процесора,Автоматичне шифрування,Зменшення розміру файлу,A
Що таке дубльований ключ у конфігурації?,Ключ має два символи,Ключ містить цифру,Значення є списком,Той самий ключ задано повторно,D
"Що означає твердження, що функції в Python є first-class citizens?",Вони не можуть мати аргументів,Вони завжди виконуються першими,"Їх можна зберігати, передавати й повертати як значення",Вони автоматично є чистими,C
Що забезпечує статична типізація через анотації під час рефакторингу?,Виявлення розривів контрактів до виконання,Гарантоване прискорення коду,Автоматичне виправлення всіх помилок,Видалення тестів,A
Який Python-механізм зручно використовувати для product type?,dataclass,try/except,eval,threading,A
Що може перевіряти property-тест для поля port?,Що довільне сміття повертає помилку,Що файл завжди існує,Що всі рядки стають float,Що port завжди дорівнює 8080,A
Що автоматично генерує @dataclass?,Тільки файлові методи,"__init__, __repr__, __eq__ та інші службові методи",Лише __main__,HTTP-обробники,B
Який засіб typing природно описує sum type?,Union,ClassVar,Callable,Dict,A
"Який тип описує функцію, що можна передавати як аргумент?",Optional,Callable,Literal,FrozenSet,B
Для чого в json.dumps використовується ensure_ascii=False?,Щоб сортувати ключі,Щоб видаляти Unicode,Щоб конвертувати числа у float,Щоб зберігати Unicode-символи без ASCII-екранування,D
Що робить параметр frozen=True у dataclass?,Видаляє всі поля,Робить екземпляр незмінним,Перетворює поля на рядки,Забороняє створення екземплярів,B
Що означає структурна типізація Protocol?,Тип перевіряється тільки в runtime,Усі класи мають спільного предка,"Важливо, які методи/атрибути має об'єкт, а не від якого класу він успадкований",Тип визначається розміром об'єкта,C
Для чого параметр default у json.dumps?,Для вибору типу dataclass,Для перевірки Optional,Для серіалізації нестандартних типів,Для створення __slots__,C
Для чого зручно застосовувати match/case в алгебраїчному моделюванні?,Для мережевого IO,Для сортування списку,Для створення потоків,Для розгалуження за варіантами sum type,D
Яку помилку в прикладі можна підняти для непідтримуваного Result variant?,TypeError,ImportWarning,StopIteration,KeyboardInterrupt,A
Які варіанти має Option у лекції?,True і False,Left і Right тільки,Some[T] і Nothing,Ok і Fail,C
Що перевіряє test_to_config_bool_variants()?,Швидкість парсера,Тільки значення int,Різні допустимі текстові представлення bool,Наявність slots,C
Що може робити pattern case Ok(value=v)?,Порівнювати тільки адреси,Змінювати тип v на int,Розпаковувати значення з варіанта Ok,Створювати виняток Ok,C
Що таке product type у контексті лекції?,"Структура, що одночасно містить набір полів",Union з альтернативами,Функція без аргументів,Виняток,A
Чи серіалізує asdict() автоматично datetime у JSON?,"Так, завжди",Лише з frozen=True,Ні,Лише зі slots=True,C
Що зазвичай робить map_err для Result?,Видаляє помилки,Перетворює тільки Ok,Завершує програму,"Перетворює помилку, не чіпаючи Ok",D
Для чого в Python використовується модуль typing?,Для створення потоків,Для опису типів і статичного аналізу,Для компіляції Python у C,Для виконання SQL-запитів,B
Для чого використовується Protocol?,Для серіалізації JSON,Для структурної типізації за потрібною поведінкою,Для мережевого протоколу TCP,Для створення enum,B
Що таке sum type?,"Тип, значення якого є одним із кількох варіантів",Список класів,Тип тільки для float,Сума числових полів,A
Що повертає dataclasses.replace(...) для frozen dataclass?,Новий екземпляр зі зміненими полями,None,Словник,Посилання на той самий об'єкт після мутації,A
Що рекомендується робити на межі IO?,Мутувати доменні моделі напряму,Використовувати лише глобальні змінні,Заборонити будь-яку валідацію,Працювати з dict/TypedDict/JSON і мапити у внутрішні моделі,D
"Яку проблему моделює Result[E, T]?",Тільки відсутність значення,Успішний результат або явну помилку,Лише логічний тип,Множину значень,B
"Що повертає json.dumps(obj, ...)?",JSON-рядок,Генератор,Байтовий файл обов'язково,Dataclass,A
Який приклад sum type відповідає Result?,"Tuple[Ok[T], Err[E]]","Union[Ok[T], Err[E]]",List[Ok[T]],"Dict[T, E]",B
