Question,A,B,C,D,Prav_vid
Що таке iterable у Python?,Лише об'єкт типу list,"Об'єкт, від якого можна отримати iterator через iter()","Об'єкт, який обов'язково має метод append()","Функція, що завжди містить yield",B
Що таке iterator?,Будь-який контейнер з індексами,Лише генераторний вираз,"Об'єкт, який завжди можна проходити необмежену кількість разів","Об'єкт, що видає наступне значення через next() і зберігає стан проходження",D
Що повертає iter(iterable)?,Наступний елемент,Список усіх елементів,Булеве значення,Iterator для цього iterable,D
Що робить next(iterator)?,Запитує наступний елемент iterator,Повертає кількість елементів,Створює новий list,Перезапускає iterator,A
Який виняток сигналізує про завершення iterator?,StopIteration,GeneratorExit,EOFError,IndexError,A
Які методи визначають класичний iterator protocol?,__call__() та __repr__(),__enter__() та __exit__(),__iter__() та __next__(),__len__() та __getitem__(),C
Що зазвичай повертає __iter__() самого iterator?,Перший елемент,self,Новий list,None,B
"Чому list є iterable, але не власним iterator?",next(list) завжди повертає перший елемент,list не містить елементів,list не можна використовувати у for,iter(list) створює окремий iterator,D
Що покаже iter(values) is values для звичайного list?,None,False,True,StopIteration,B
Що зазвичай покаже iter(it) is it для iterator?,0,False,True,TypeError,C
Що відбудеться при повторному list(it) після повного вичерпання iterator?,Буде отримано порожній список,Iterator автоматично почнеться спочатку,Повернеться попередній список,Виникне SyntaxError,A
Чому iterator називають одноразовим?,Його не можна використовувати у for,Він зберігає поточну позицію і після вичерпання не перезапускається автоматично,Його можна викликати лише один раз у програмі,Він містить лише один елемент,B
Як цикл for концептуально отримує елементи?,Через рекурсію,Через multiprocessing,Через iter() і повторні next() до StopIteration,Через прямий доступ лише за індексами,C
Навіщо відокремлювати iterable від iterator?,Щоб уникнути методу __iter__,Щоб усі дані були eager,Щоб заборонити повторну ітерацію,Щоб підтримувати багато незалежних проходів,D
Що робить __next__() у власному iterator?,Створює контейнер,Закриває програму,Завжди повертає self,Повертає наступне значення або породжує StopIteration,D
Що зберігає current у CounterIterator?,Кількість iterator-класів,Тип контейнера,Розмір пам'яті Python,Поточний стан проходження,D
Що містить генераторна функція?,Обов'язково class,Обов'язково async,Тільки return,yield,D
Що повертає виклик генераторної функції?,Одразу всі значення у list,Generator object,Лише перший yield,None,B
Коли починається виконання тіла generator function?,Одразу під час її визначення,Лише після list comprehension,Під час import завжди,Під час next() або ітерації,D
Що робить yield?,Завжди завершує функцію назавжди,Створює list,Видає значення і призупиняє функцію зі збереженням стану,Очищає локальні змінні,C
Чим yield відрізняється від return?,yield працює лише у класах,"yield дозволяє продовжити генератор пізніше, return завершує функцію",Нічим,return створює нескінченний iterator,B
Що зберігає generator між викликами next()?,Локальні змінні та позицію виконання,Усі глобальні модулі,Лише ім'я функції,Повну копію інтерпретатора,A
Чому генератор парних чисел пам'яттєво ефективний?,Він автоматично стискає числа,Не створює окремий повний список результатів,Він використовує GPU,Він не виконує жодних обчислень,B
