Question,A,B,C,D,Prav_vid
Python має яку типізацію?,Статичну,Динамічну,Сильну,Жорстку,Динамічну
Тип для цілих чисел:,float,int,str,bool,int
Тип для чисел з плаваючою комою:,int,float,complex,str,float
str використовується для:,Чисел,Тексту,Матриць,Булевих,Тексту
list є:,Незмінний,Змінний,Тільки числовий,Скаляр,Змінний
tuple є:,Змінний,Незмінний,Словник,Множина,Незмінний
set зберігає:,Дублікати,Унікальні значення,Ключ-значення,Індекси,Унікальні значення
dict зберігає:,Список,Ключ:значення,Тільки числа,Індекси,Ключ:значення
Метод додавання до списку:,add(),append(),insert(),push(),append()
Метод для перетворення рядка у список слів:,split(),join(),upper(),strip(),split()
len() повертає:,Максимум,Довжину,Мінімум,Тип,Довжину
max() повертає:,Максимум,Мінімум,Середнє,Тип,Максимум
min() повертає:,Максимум,Мінімум,Середнє,Довжину,Мінімум
sum()/len() обчислює:,Median,Mean,Std,Var,Mean
"Функція з параметром name=""Студент"" має:",Аргумент за замовчуванням,Глобальну змінну,Помилку,Цикл,Аргумент за замовчуванням
def означає:,Створення функції,Імпорт,Цикл,Умова,Створення функції
return використовується для:,Виводу,Повернення значення,Імпорту,Циклу,Повернення значення
average(values) — це:,Вбудована функція,Користувацька функція,Метод списку,Модуль,Користувацька функція
"Функція greet(""Anna""):",Використає default,Передасть аргумент,Помилка,None,Передасть аргумент
print() — це:,Метод файлу,Вбудована функція,Модуль,Пакет,Вбудована функція
Імпорт numpy як np:,import numpy as np,include numpy,using numpy,np import,import numpy as np
from numpy import pi означає:,Імпорт всієї бібліотеки,Імпорт константи pi,Імпорт pandas,Помилка,Імпорт константи pi
pandas використовується для:,Векторизації,Табличних даних,Компиляції,Графіки,Табличних даних
matplotlib використовується для:,Графіки,CSV,Компиляції,Функцій,Графіки
math.sqrt(16) дорівнює:,4,8,16,2,4
np.sqrt(16) дорівнює:,4,8,16,2,4
Пакет — це:,Файл,Набір модулів,Функція,Список,Набір модулів
Модуль — це:,Окрема бібліотека,Функція,Список,Цикл,Окрема бібліотека
import дозволяє:,Створити цикл,Підключити модуль,Оголосити функцію,Створити список,Підключити модуль
numpy є основою для:,scikit-learn,Word,Excel,Photoshop,scikit-learn
List comprehension створює:,Новий список,Файл,Словник,Матрицю,Новий список
[x**2 for x in numbers] — це:,Цикл,List comprehension,Dict,Set,List comprehension
Фільтрація у list comprehension використовує:,if,for,while,return,if
Dict comprehension створює:,Список,Новий словник,Множину,Файл,Новий словник
.items() повертає:,Ключі,Значення,Пари ключ-значення,Індекси,Пари ключ-значення
"for name,s in scores.items(): означає:",Перебір пар,Цикл while,Індексування,Помилка,Перебір пар
if s>=80 у comprehension — це:,Фільтр,Цикл,Функція,Метод,Фільтр
{name:s ...} створює:,Список,Словник,Множину,Файл,Словник
Comprehension дозволяє:,Компактний код,Довший код,Помилку,Імпорт,Компактний код
even_numbers = [x for x in numbers if x%2==0] — це:,Фільтрація,Сума,Mean,Max,Фільтрація
"""w"" режим означає:",Читання,Перезапис,Додавання,Бінарний,Перезапис
"""a"" режим означає:",Додавання,Читання,Перезапис,Закриття,Додавання
.read() використовується для:,Запису,Читання,Закриття,Імпорту,Читання
.write() використовується для:,Запису,Читання,Імпорту,Видалення,Запису
"newline="""" потрібно для:",Windows CSV,Linux,Mac,None,Windows CSV
"encoding=""utf-8"" потрібен для:",Українських символів,Швидкості,Модулів,Функцій,Українських символів
csv.writer використовується для:,Запису CSV,Читання TXT,Імпорту,Mean,Запису CSV
csv.DictReader використовується для:,Читання CSV як словники,Запису,Графіків,Mean,Читання CSV як словники
pd.read_csv повертає:,DataFrame,List,Dict,Tuple,DataFrame
.head() у pandas показує:,Перші рядки,Останні,Mean,Var,Перші рядки
