Question,A,B,C,D,Prav_vid
Що таке Pandas?,Бібліотека для веброзробки,Бібліотека для аналізу та обробки табличних даних,Фреймворк для глибинного навчання,Мова програмування,B
На якій бібліотеці побудована Pandas?,Matplotlib,Seaborn,NumPy,SciPy,C
Який стандартний псевдонім використовують для імпорту Pandas?,import pandas as np,import pandas as pd,import numpy as pd,import p as pandas,B
Що таке Series у Pandas?,Двовимірна таблиця,Одновимірна структура даних з індексом,SQL-запит,Тип графіка,B
Що таке DataFrame у Pandas?,Одновимірний масив,Словник Python,Двовимірна таблиця з рядками та стовпцями,Функція сортування,C
Що входить до складу Series?,Лише значення,"Значення, індекси та тип даних",Лише тип даних,Тільки назви стовпців,B
Який метод створює Series зі списку?,pd.DataFrame([...]),np.Series([...]),pd.Series([...]),pd.Index([...]),C
Що можуть бути індексами Series?,Лише числа,Лише дати,Лише рядки,"Числа, рядки та інші мітки",D
"Що станеться, якщо створити Series зі словника?",Ключі словника стануть індексами,Словник не можна перетворити в Series,Усі значення стануть NaN,Ключі будуть втрачені,A
Що означає NaN у Pandas?,Нульове значення,Невірний тип даних,Відсутнє значення,Назва колонки,C
Який метод обчислює середнє значення Series?,avg(),mean(),average(),mid(),B
Який метод знаходить максимальне значення Series?,top(),upper(),max(),peak(),C
Що поверне вираз scores[scores > 80]?,Відсортовану Series,Лише індекси,Фільтровану Series зі значеннями > 80,Помилку,C
Що таке векторизація в Pandas?,Поелементна обробка лише через цикл for,Виконання операцій одразу над усією структурою даних,Збереження даних у векторному файлі,Автоматичне створення графіків,B
Що повертає s.values для Series s?,Список Python,NumPy ndarray,DataFrame,Tuple,B
Який сучасний рекомендований спосіб отримати NumPy-масив із Series?,s.array(),s.values(),s.to_numpy(),np.series(s),C
Чим Series відрізняється від NumPy-масиву?,Series підтримує підписані індекси,Series не підтримує математику,NumPy завжди повільніший,Series не має типів даних,A
Що є головною відмінністю арифметики між Series і ndarray?,Series працює лише з цілими числами,Series автоматично вирівнює дані по індексах,Series не підтримує додавання,ndarray зберігає індекс,B
