Question,A,B,C,D,Prav_vid
Що означає динамічна типізація в Python?,Тип визначається лише файлом pyproject.toml,"Тип належить об’єкту, а ім’я змінної може посилатися на об’єкти різних типів",Тип змінної назавжди фіксується при першому присвоєнні,Усі об’єкти мають тип str,B
Які базові контейнери названо в лекції?,"int, float, bool і str","Counter, Path, JSON і CSV","class, def, import і return","list, tuple, set і dict",D
Які з базових контейнерів є mutable?,"tuple, str і int",лише tuple,tuple і frozenset,"list, set і dict",D
Який базовий контейнер є immutable?,tuple,dict,set,list,A
Що означає immutable для tuple?,Після створення не можна замінити елементи самого кортежу,У кортежі дозволені лише числа,Кортеж не можна читати за індексом,Кортеж не може містити mutable-об’єкти,A
Якою структурою концептуально є list у CPython?,Двобічною чергою,Хеш-таблицею,Динамічним масивом посилань,Зв’язним списком без індексів,C
Яка типова складність доступу lst[i]?,O(n²),O(1),O(log n),O(n),B
Що робить list.append(x)?,Сортує список,Вставляє x лише на початок,Додає всі елементи x окремо,Додає один елемент у кінець списку,D
Чим extend відрізняється від append?,extend видаляє останній елемент,extend додає елементи ітерабельного об’єкта окремо,extend завжди додає аргумент як один вкладений елемент,extend створює tuple,B
"Що робить list.insert(1, 7)?",Додає 7 лише в кінець,Замінює весь список числом 7,Вставляє 7 за індексом 1,Видаляє елемент з індексом 1,C
Що робить list.remove(4)?,Видаляє перше значення 4,Видаляє елемент з індексом 4,Видаляє всі значення 4,Повертає останній елемент,A
Що робить list.pop() без аргументу?,Очищає список,Видаляє і повертає останній елемент,Видаляє перший елемент без повернення,Сортує список,B
Яка особливість list.sort()?,Не змінює вихідний список,Працює лише з set,Змінює список на місці й повертає None,Завжди створює tuple,C
Що робить sorted(original)?,Повертає None,Повертає set,Завжди змінює original на місці,Створює новий відсортований список,D
Що таке shallow copy списку?,Посилання на той самий зовнішній список,Копія лише першого елемента,Повністю незалежна рекурсивна копія,Новий зовнішній список зі спільними посиланнями на вкладені об’єкти,D
Який засіб використовують для незалежного копіювання вкладеної структури?,enumerate,zip,sorted,deepcopy,D
Для чого доцільно використовувати tuple?,Для автоматичного видалення дублікатів,Для частої вставки на початок,Для mutable-конфігурації,Для фіксованого набору пов’язаних значень,D
Який запис створює одноелементний tuple?,(10),"(10,)",[10],{10: 1},B
Що визначає одноелементний tuple насамперед?,Круглі дужки без коми,Двокрапка,Ключове слово tuple перед числом,Кома,D
Як функція може повернути два значення у прикладі лекції?,Створити два оператори return підряд,Повернути лише list,Повернути їх через кому як tuple,Використати тільки global,C
Коли namedtuple або dataclass виразніші за звичайний tuple?,Коли потрібен pop(0),Коли запис має багато позиційних полів,Коли потрібна лише одна числова змінна,Коли треба виконати membership у set,B
Яка головна властивість set?,Зберігає унікальні hashable-елементи,Завжди підтримує позиційний порядок,Зберігає дублікати за індексами,Дозволяє лише рядки,A
Для якої задачі set особливо ефективний?,Доступ до 100-го елемента за позицією,Перевірка належності елемента,Зберігання дубльованих записів у порядку,FIFO-черга,B
Який оператор виконує об’єднання множин?,|,-,&,^,A
Який оператор виконує перетин множин?,//,^,&,|,C
Який оператор виконує різницю множин?,+,-,|,&,B
Який оператор виконує симетричну різницю множин?,%,^,|,&,B
Який недолік простого set(values) для видалення дублікатів?,Не слід покладатися на нього для збереження вихідного порядку,Він працює лише з dict,Він завжди повертає tuple,Він не видаляє дублікати,A
Як у лекції запропоновано видалити дублікати зі збереженням порядку?,tuple(values),list(set(values)),sorted(set(values)),list(dict.fromkeys(values)),D
Що таке frozenset?,Двобічна черга,Змінний аналог list,Незмінний аналог set,Спеціальний вид dict,C
Чому frozenset може бути ключем словника?,Тому що він має індекси,Завдяки незмінності він може бути hashable,Тому що він завжди є рядком,Тому що dict дозволяє будь-які mutable-ключі,B
Що реалізує dict?,Незмінний запис без ключів,FIFO-чергу,Відображення ключ → значення,Лише впорядкований список чисел,C
Якими мають бути ключі dict?,Hashable,Тільки list,Тільки set,Обов’язково mutable,A
"Що станеться при config['port'], якщо ключа port немає?",Виникне KeyError,Ключ автоматично створиться,Повернеться 0,Повернеться None за будь-яких умов,A
"Що дозволяє dict.get('port', 8000)?",Завжди підняти KeyError,"Повернути 8000, якщо ключ відсутній",Видалити ключ port,Перетворити dict на list,B
Що робить dict.update(...)?,Лише видаляє ключі,Сортує словник за значеннями,Перетворює словник на tuple,Додає або оновлює пари ключ-значення,D
Що повертає user.pop('role')?,Значення видаленого ключа role,Увесь словник без змін,Завжди None,Список усіх ключів,A
Що повертає scores.items()?,Індекси словника,Пари ключ-значення,Лише ключі,Лише значення,B
Що повертає scores.values()?,Тільки перший елемент,Ключі словника,Значення словника,Пари ключ-значення,C
Яке правило діє для defaults | custom при однакових ключах?,Значення правого словника мають пріоритет,Виникає TypeError,Обидва значення перетворюються на list,Завжди перемагає лівий словник,A
Для чого корисний setdefault у прикладі?,Для створення frozenset,Для швидкого pop з початку,Для простого групування значень за ключем,Для сортування list,C
Коли defaultdict часто читабельніший за setdefault?,При доступі до елемента list за індексом,При створенні tuple,При сортуванні чисел,При систематичному групуванні,D
Яка загальна форма slicing?,sequence{start:stop:step},"sequence(start, stop, step)",sequence[start:stop:step],slice.sequence[start],C
Чи входить межа stop у результат зрізу?,"Так, завжди",Ні,Лише при step=2,Лише для tuple,B
"Що поверне data[::2] для [0,1,2,3,4,5,6]?","[0, 1, 2]","[1, 3, 5]","[0, 2, 4, 6]","[6, 5, 4, 3, 2, 1, 0]",C
Що робить data[::-1]?,Сортує за зростанням,Видаляє останній елемент,Створює послідовність у зворотному порядку,Повертає лише парні елементи,C
Яка типова складність зрізу списку довжини k?,O(k²),O(k),O(log k),O(1),B
Чому великий slicing може бути дорогим за пам’яттю?,Slicing запускає окремий процес,Створюється новий список і копіюються посилання,Кожен зріз створює dict,Зріз завжди змінює вихідний список,B
Що таке unpacking?,Зіставлення елементів ітерабельного об’єкта з кількома змінними,Сортування контейнера,Видалення дублікатів,Копіювання через deepcopy,A
Що збирає *rest у розширеному розпакуванні?,Пари ключ-значення у dict,Довільну кількість елементів у список,Лише один останній елемент,Тільки числа,B
